Hour_of_Year,Time_(HH:MM),Hr_of_Day,Day_of_Year,Day_of_Week,Day_Name,Month,Mains_Temp_C
1,1,1,1,1,Sunday,1,8.822222222
2,1.041666667,2,1,1,Sunday,1,8.822222222
3,1.083333333,3,1,1,Sunday,1,8.827777778
4,1.125,4,1,1,Sunday,1,8.827777778
5,1.166666667,5,1,1,Sunday,1,8.833333333
6,1.208333333,6,1,1,Sunday,1,8.833333333
7,1.25,7,1,1,Sunday,1,8.838888889
8,1.291666667,8,1,1,Sunday,1,8.844444444
9,1.333333333,9,1,1,Sunday,1,8.85
10,1.375,10,1,1,Sunday,1,8.85
11,1.416666667,11,1,1,Sunday,1,8.855555556
12,1.458333333,12,1,1,Sunday,1,8.861111111
13,1.5,13,1,1,Sunday,1,8.861111111
14,1.541666667,14,1,1,Sunday,1,8.861111111
15,1.583333333,15,1,1,Sunday,1,8.861111111
16,1.625,16,1,1,Sunday,1,8.861111111
17,1.666666667,17,1,1,Sunday,1,8.861111111
18,1.708333333,18,1,1,Sunday,1,8.861111111
19,1.75,19,1,1,Sunday,1,8.861111111
20,1.791666667,20,1,1,Sunday,1,8.861111111
21,1.833333333,21,1,1,Sunday,1,8.861111111
22,1.875,22,1,1,Sunday,1,8.866666667
23,1.916666667,23,1,1,Sunday,1,8.866666667
24,1.958333333,24,1,1,Sunday,1,8.866666667
25,2,1,2,2,Monday,1,8.866666667
26,2.041666667,2,2,2,Monday,1,8.866666667
27,2.083333333,3,2,2,Monday,1,8.872222222
28,2.125,4,2,2,Monday,1,8.872222222
29,2.166666667,5,2,2,Monday,1,8.872222222
30,2.208333333,6,2,2,Monday,1,8.872222222
31,2.25,7,2,2,Monday,1,8.872222222
32,2.291666667,8,2,2,Monday,1,8.872222222
33,2.333333333,9,2,2,Monday,1,8.872222222
34,2.375,10,2,2,Monday,1,8.877777778
35,2.416666667,11,2,2,Monday,1,8.877777778
36,2.458333333,12,2,2,Monday,1,8.877777778
37,2.5,13,2,2,Monday,1,8.883333333
38,2.541666667,14,2,2,Monday,1,8.883333333
39,2.583333333,15,2,2,Monday,1,8.883333333
40,2.625,16,2,2,Monday,1,8.883333333
41,2.666666667,17,2,2,Monday,1,8.888888889
42,2.708333333,18,2,2,Monday,1,8.888888889
43,2.75,19,2,2,Monday,1,8.894444444
44,2.791666667,20,2,2,Monday,1,8.894444444
45,2.833333333,21,2,2,Monday,1,8.894444444
46,2.875,22,2,2,Monday,1,8.894444444
47,2.916666667,23,2,2,Monday,1,8.894444444
48,2.958333333,24,2,2,Monday,1,8.9
49,3,1,3,3,Tuesday,1,8.9
50,3.041666667,2,3,3,Tuesday,1,8.9
51,3.083333333,3,3,3,Tuesday,1,8.905555556
52,3.125,4,3,3,Tuesday,1,8.905555556
53,3.166666667,5,3,3,Tuesday,1,8.905555556
54,3.208333333,6,3,3,Tuesday,1,8.905555556
55,3.25,7,3,3,Tuesday,1,8.911111111
56,3.291666667,8,3,3,Tuesday,1,8.911111111
57,3.333333333,9,3,3,Tuesday,1,8.911111111
58,3.375,10,3,3,Tuesday,1,8.911111111
59,3.416666667,11,3,3,Tuesday,1,8.911111111
60,3.458333333,12,3,3,Tuesday,1,8.911111111
61,3.5,13,3,3,Tuesday,1,8.911111111
62,3.541666667,14,3,3,Tuesday,1,8.911111111
63,3.583333333,15,3,3,Tuesday,1,8.911111111
64,3.625,16,3,3,Tuesday,1,8.911111111
65,3.666666667,17,3,3,Tuesday,1,8.911111111
66,3.708333333,18,3,3,Tuesday,1,8.911111111
67,3.75,19,3,3,Tuesday,1,8.911111111
68,3.791666667,20,3,3,Tuesday,1,8.911111111
69,3.833333333,21,3,3,Tuesday,1,8.911111111
70,3.875,22,3,3,Tuesday,1,8.911111111
71,3.916666667,23,3,3,Tuesday,1,8.911111111
72,3.958333333,24,3,3,Tuesday,1,8.911111111
73,4,1,4,4,Wednesday,1,8.911111111
74,4.041666667,2,4,4,Wednesday,1,8.911111111
75,4.083333333,3,4,4,Wednesday,1,8.911111111
76,4.125,4,4,4,Wednesday,1,8.911111111
77,4.166666667,5,4,4,Wednesday,1,8.905555556
78,4.208333333,6,4,4,Wednesday,1,8.911111111
79,4.25,7,4,4,Wednesday,1,8.911111111
80,4.291666667,8,4,4,Wednesday,1,8.911111111
81,4.333333333,9,4,4,Wednesday,1,8.911111111
82,4.375,10,4,4,Wednesday,1,8.911111111
83,4.416666667,11,4,4,Wednesday,1,8.911111111
84,4.458333333,12,4,4,Wednesday,1,8.911111111
85,4.5,13,4,4,Wednesday,1,8.911111111
86,4.541666667,14,4,4,Wednesday,1,8.905555556
87,4.583333333,15,4,4,Wednesday,1,8.905555556
88,4.625,16,4,4,Wednesday,1,8.911111111
89,4.666666667,17,4,4,Wednesday,1,8.911111111
90,4.708333333,18,4,4,Wednesday,1,8.905555556
91,4.75,19,4,4,Wednesday,1,8.905555556
92,4.791666667,20,4,4,Wednesday,1,8.905555556
93,4.833333333,21,4,4,Wednesday,1,8.905555556
94,4.875,22,4,4,Wednesday,1,8.905555556
95,4.916666667,23,4,4,Wednesday,1,8.905555556
96,4.958333333,24,4,4,Wednesday,1,8.905555556
97,5,1,5,5,Thursday,1,8.9
98,5.041666667,2,5,5,Thursday,1,8.9
99,5.083333333,3,5,5,Thursday,1,8.9
100,5.125,4,5,5,Thursday,1,8.894444444
101,5.166666667,5,5,5,Thursday,1,8.888888889
102,5.208333333,6,5,5,Thursday,1,8.888888889
103,5.25,7,5,5,Thursday,1,8.883333333
104,5.291666667,8,5,5,Thursday,1,8.877777778
105,5.333333333,9,5,5,Thursday,1,8.872222222
106,5.375,10,5,5,Thursday,1,8.866666667
107,5.416666667,11,5,5,Thursday,1,8.866666667
108,5.458333333,12,5,5,Thursday,1,8.861111111
109,5.5,13,5,5,Thursday,1,8.855555556
110,5.541666667,14,5,5,Thursday,1,8.85
111,5.583333333,15,5,5,Thursday,1,8.85
112,5.625,16,5,5,Thursday,1,8.844444444
113,5.666666667,17,5,5,Thursday,1,8.844444444
114,5.708333333,18,5,5,Thursday,1,8.838888889
115,5.75,19,5,5,Thursday,1,8.833333333
116,5.791666667,20,5,5,Thursday,1,8.827777778
117,5.833333333,21,5,5,Thursday,1,8.822222222
118,5.875,22,5,5,Thursday,1,8.822222222
119,5.916666667,23,5,5,Thursday,1,8.811111111
120,5.958333333,24,5,5,Thursday,1,8.805555556
121,6,1,6,6,Friday,1,8.8
122,6.041666667,2,6,6,Friday,1,8.794444444
123,6.083333333,3,6,6,Friday,1,8.788888889
124,6.125,4,6,6,Friday,1,8.783333333
125,6.166666667,5,6,6,Friday,1,8.772222222
126,6.208333333,6,6,6,Friday,1,8.766666667
127,6.25,7,6,6,Friday,1,8.761111111
128,6.291666667,8,6,6,Friday,1,8.75
129,6.333333333,9,6,6,Friday,1,8.744444444
130,6.375,10,6,6,Friday,1,8.733333333
131,6.416666667,11,6,6,Friday,1,8.727777778
132,6.458333333,12,6,6,Friday,1,8.716666667
133,6.5,13,6,6,Friday,1,8.711111111
134,6.541666667,14,6,6,Friday,1,8.705555556
135,6.583333333,15,6,6,Friday,1,8.7
136,6.625,16,6,6,Friday,1,8.694444444
137,6.666666667,17,6,6,Friday,1,8.688888889
138,6.708333333,18,6,6,Friday,1,8.677777778
139,6.75,19,6,6,Friday,1,8.672222222
140,6.791666667,20,6,6,Friday,1,8.666666667
141,6.833333333,21,6,6,Friday,1,8.655555556
142,6.875,22,6,6,Friday,1,8.65
143,6.916666667,23,6,6,Friday,1,8.638888889
144,6.958333333,24,6,6,Friday,1,8.633333333
145,7,1,7,7,Saturday,1,8.622222222
146,7.041666667,2,7,7,Saturday,1,8.616666667
147,7.083333333,3,7,7,Saturday,1,8.605555556
148,7.125,4,7,7,Saturday,1,8.6
149,7.166666667,5,7,7,Saturday,1,8.594444444
150,7.208333333,6,7,7,Saturday,1,8.583333333
151,7.25,7,7,7,Saturday,1,8.577777778
152,7.291666667,8,7,7,Saturday,1,8.566666667
153,7.333333333,9,7,7,Saturday,1,8.561111111
154,7.375,10,7,7,Saturday,1,8.55
155,7.416666667,11,7,7,Saturday,1,8.538888889
156,7.458333333,12,7,7,Saturday,1,8.533333333
157,7.5,13,7,7,Saturday,1,8.522222222
158,7.541666667,14,7,7,Saturday,1,8.516666667
159,7.583333333,15,7,7,Saturday,1,8.511111111
160,7.625,16,7,7,Saturday,1,8.505555556
161,7.666666667,17,7,7,Saturday,1,8.5
162,7.708333333,18,7,7,Saturday,1,8.494444444
163,7.75,19,7,7,Saturday,1,8.488888889
164,7.791666667,20,7,7,Saturday,1,8.483333333
165,7.833333333,21,7,7,Saturday,1,8.472222222
166,7.875,22,7,7,Saturday,1,8.466666667
167,7.916666667,23,7,7,Saturday,1,8.466666667
168,7.958333333,24,7,7,Saturday,1,8.455555556
169,8,1,8,1,Sunday,1,8.45
170,8.041666667,2,8,1,Sunday,1,8.444444444
171,8.083333333,3,8,1,Sunday,1,8.438888889
172,8.125,4,8,1,Sunday,1,8.433333333
173,8.166666667,5,8,1,Sunday,1,8.422222222
174,8.208333333,6,8,1,Sunday,1,8.416666667
175,8.25,7,8,1,Sunday,1,8.411111111
176,8.291666667,8,8,1,Sunday,1,8.4
177,8.333333333,9,8,1,Sunday,1,8.394444444
178,8.375,10,8,1,Sunday,1,8.388888889
179,8.416666667,11,8,1,Sunday,1,8.377777778
180,8.458333333,12,8,1,Sunday,1,8.372222222
181,8.5,13,8,1,Sunday,1,8.366666667
182,8.541666667,14,8,1,Sunday,1,8.366666667
183,8.583333333,15,8,1,Sunday,1,8.361111111
184,8.625,16,8,1,Sunday,1,8.355555556
185,8.666666667,17,8,1,Sunday,1,8.35
186,8.708333333,18,8,1,Sunday,1,8.35
187,8.75,19,8,1,Sunday,1,8.344444444
188,8.791666667,20,8,1,Sunday,1,8.338888889
189,8.833333333,21,8,1,Sunday,1,8.333333333
190,8.875,22,8,1,Sunday,1,8.327777778
191,8.916666667,23,8,1,Sunday,1,8.322222222
192,8.958333333,24,8,1,Sunday,1,8.316666667
193,9,1,9,2,Monday,1,8.311111111
194,9.041666667,2,9,2,Monday,1,8.305555556
195,9.083333333,3,9,2,Monday,1,8.3
196,9.125,4,9,2,Monday,1,8.288888889
197,9.166666667,5,9,2,Monday,1,8.283333333
198,9.208333333,6,9,2,Monday,1,8.272222222
199,9.25,7,9,2,Monday,1,8.266666667
200,9.291666667,8,9,2,Monday,1,8.255555556
201,9.333333333,9,9,2,Monday,1,8.25
202,9.375,10,9,2,Monday,1,8.244444444
203,9.416666667,11,9,2,Monday,1,8.238888889
204,9.458333333,12,9,2,Monday,1,8.238888889
205,9.5,13,9,2,Monday,1,8.238888889
206,9.541666667,14,9,2,Monday,1,8.238888889
207,9.583333333,15,9,2,Monday,1,8.238888889
208,9.625,16,9,2,Monday,1,8.233333333
209,9.666666667,17,9,2,Monday,1,8.233333333
210,9.708333333,18,9,2,Monday,1,8.233333333
211,9.75,19,9,2,Monday,1,8.233333333
212,9.791666667,20,9,2,Monday,1,8.233333333
213,9.833333333,21,9,2,Monday,1,8.227777778
214,9.875,22,9,2,Monday,1,8.233333333
215,9.916666667,23,9,2,Monday,1,8.233333333
216,9.958333333,24,9,2,Monday,1,8.233333333
217,10,1,10,3,Tuesday,1,8.233333333
218,10.04166667,2,10,3,Tuesday,1,8.233333333
219,10.08333333,3,10,3,Tuesday,1,8.233333333
220,10.125,4,10,3,Tuesday,1,8.238888889
221,10.16666667,5,10,3,Tuesday,1,8.238888889
222,10.20833333,6,10,3,Tuesday,1,8.238888889
223,10.25,7,10,3,Tuesday,1,8.238888889
224,10.29166667,8,10,3,Tuesday,1,8.238888889
225,10.33333333,9,10,3,Tuesday,1,8.244444444
226,10.375,10,10,3,Tuesday,1,8.244444444
227,10.41666667,11,10,3,Tuesday,1,8.244444444
228,10.45833333,12,10,3,Tuesday,1,8.25
229,10.5,13,10,3,Tuesday,1,8.25
230,10.54166667,14,10,3,Tuesday,1,8.25
231,10.58333333,15,10,3,Tuesday,1,8.255555556
232,10.625,16,10,3,Tuesday,1,8.255555556
233,10.66666667,17,10,3,Tuesday,1,8.255555556
234,10.70833333,18,10,3,Tuesday,1,8.261111111
235,10.75,19,10,3,Tuesday,1,8.266666667
236,10.79166667,20,10,3,Tuesday,1,8.266666667
237,10.83333333,21,10,3,Tuesday,1,8.266666667
238,10.875,22,10,3,Tuesday,1,8.272222222
239,10.91666667,23,10,3,Tuesday,1,8.272222222
240,10.95833333,24,10,3,Tuesday,1,8.277777778
241,11,1,11,4,Wednesday,1,8.277777778
242,11.04166667,2,11,4,Wednesday,1,8.283333333
243,11.08333333,3,11,4,Wednesday,1,8.288888889
244,11.125,4,11,4,Wednesday,1,8.288888889
245,11.16666667,5,11,4,Wednesday,1,8.294444444
246,11.20833333,6,11,4,Wednesday,1,8.3
247,11.25,7,11,4,Wednesday,1,8.3
248,11.29166667,8,11,4,Wednesday,1,8.305555556
249,11.33333333,9,11,4,Wednesday,1,8.311111111
250,11.375,10,11,4,Wednesday,1,8.311111111
251,11.41666667,11,11,4,Wednesday,1,8.316666667
252,11.45833333,12,11,4,Wednesday,1,8.322222222
253,11.5,13,11,4,Wednesday,1,8.322222222
254,11.54166667,14,11,4,Wednesday,1,8.327777778
255,11.58333333,15,11,4,Wednesday,1,8.333333333
256,11.625,16,11,4,Wednesday,1,8.338888889
257,11.66666667,17,11,4,Wednesday,1,8.344444444
258,11.70833333,18,11,4,Wednesday,1,8.35
259,11.75,19,11,4,Wednesday,1,8.355555556
260,11.79166667,20,11,4,Wednesday,1,8.361111111
261,11.83333333,21,11,4,Wednesday,1,8.361111111
262,11.875,22,11,4,Wednesday,1,8.366666667
263,11.91666667,23,11,4,Wednesday,1,8.372222222
264,11.95833333,24,11,4,Wednesday,1,8.372222222
265,12,1,12,5,Thursday,1,8.377777778
266,12.04166667,2,12,5,Thursday,1,8.383333333
267,12.08333333,3,12,5,Thursday,1,8.383333333
268,12.125,4,12,5,Thursday,1,8.383333333
269,12.16666667,5,12,5,Thursday,1,8.388888889
270,12.20833333,6,12,5,Thursday,1,8.388888889
271,12.25,7,12,5,Thursday,1,8.394444444
272,12.29166667,8,12,5,Thursday,1,8.4
273,12.33333333,9,12,5,Thursday,1,8.4
274,12.375,10,12,5,Thursday,1,8.4
275,12.41666667,11,12,5,Thursday,1,8.4
276,12.45833333,12,12,5,Thursday,1,8.4
277,12.5,13,12,5,Thursday,1,8.405555556
278,12.54166667,14,12,5,Thursday,1,8.405555556
279,12.58333333,15,12,5,Thursday,1,8.405555556
280,12.625,16,12,5,Thursday,1,8.405555556
281,12.66666667,17,12,5,Thursday,1,8.405555556
282,12.70833333,18,12,5,Thursday,1,8.405555556
283,12.75,19,12,5,Thursday,1,8.405555556
284,12.79166667,20,12,5,Thursday,1,8.405555556
285,12.83333333,21,12,5,Thursday,1,8.405555556
286,12.875,22,12,5,Thursday,1,8.405555556
287,12.91666667,23,12,5,Thursday,1,8.405555556
288,12.95833333,24,12,5,Thursday,1,8.405555556
289,13,1,13,6,Friday,1,8.405555556
290,13.04166667,2,13,6,Friday,1,8.405555556
291,13.08333333,3,13,6,Friday,1,8.4
292,13.125,4,13,6,Friday,1,8.4
293,13.16666667,5,13,6,Friday,1,8.4
294,13.20833333,6,13,6,Friday,1,8.4
295,13.25,7,13,6,Friday,1,8.394444444
296,13.29166667,8,13,6,Friday,1,8.394444444
297,13.33333333,9,13,6,Friday,1,8.394444444
298,13.375,10,13,6,Friday,1,8.388888889
299,13.41666667,11,13,6,Friday,1,8.388888889
300,13.45833333,12,13,6,Friday,1,8.388888889
301,13.5,13,13,6,Friday,1,8.383333333
302,13.54166667,14,13,6,Friday,1,8.383333333
303,13.58333333,15,13,6,Friday,1,8.377777778
304,13.625,16,13,6,Friday,1,8.377777778
305,13.66666667,17,13,6,Friday,1,8.372222222
306,13.70833333,18,13,6,Friday,1,8.366666667
307,13.75,19,13,6,Friday,1,8.361111111
308,13.79166667,20,13,6,Friday,1,8.361111111
309,13.83333333,21,13,6,Friday,1,8.355555556
310,13.875,22,13,6,Friday,1,8.35
311,13.91666667,23,13,6,Friday,1,8.35
312,13.95833333,24,13,6,Friday,1,8.344444444
313,14,1,14,7,Saturday,1,8.344444444
314,14.04166667,2,14,7,Saturday,1,8.344444444
315,14.08333333,3,14,7,Saturday,1,8.344444444
316,14.125,4,14,7,Saturday,1,8.344444444
317,14.16666667,5,14,7,Saturday,1,8.338888889
318,14.20833333,6,14,7,Saturday,1,8.338888889
319,14.25,7,14,7,Saturday,1,8.338888889
320,14.29166667,8,14,7,Saturday,1,8.338888889
321,14.33333333,9,14,7,Saturday,1,8.338888889
322,14.375,10,14,7,Saturday,1,8.333333333
323,14.41666667,11,14,7,Saturday,1,8.333333333
324,14.45833333,12,14,7,Saturday,1,8.333333333
325,14.5,13,14,7,Saturday,1,8.327777778
326,14.54166667,14,14,7,Saturday,1,8.327777778
327,14.58333333,15,14,7,Saturday,1,8.327777778
328,14.625,16,14,7,Saturday,1,8.327777778
329,14.66666667,17,14,7,Saturday,1,8.322222222
330,14.70833333,18,14,7,Saturday,1,8.316666667
331,14.75,19,14,7,Saturday,1,8.316666667
332,14.79166667,20,14,7,Saturday,1,8.311111111
333,14.83333333,21,14,7,Saturday,1,8.305555556
334,14.875,22,14,7,Saturday,1,8.3
335,14.91666667,23,14,7,Saturday,1,8.294444444
336,14.95833333,24,14,7,Saturday,1,8.288888889
337,15,1,15,1,Sunday,1,8.277777778
338,15.04166667,2,15,1,Sunday,1,8.272222222
339,15.08333333,3,15,1,Sunday,1,8.261111111
340,15.125,4,15,1,Sunday,1,8.25
341,15.16666667,5,15,1,Sunday,1,8.238888889
342,15.20833333,6,15,1,Sunday,1,8.227777778
343,15.25,7,15,1,Sunday,1,8.216666667
344,15.29166667,8,15,1,Sunday,1,8.211111111
345,15.33333333,9,15,1,Sunday,1,8.2
346,15.375,10,15,1,Sunday,1,8.188888889
347,15.41666667,11,15,1,Sunday,1,8.183333333
348,15.45833333,12,15,1,Sunday,1,8.177777778
349,15.5,13,15,1,Sunday,1,8.172222222
350,15.54166667,14,15,1,Sunday,1,8.166666667
351,15.58333333,15,15,1,Sunday,1,8.161111111
352,15.625,16,15,1,Sunday,1,8.155555556
353,15.66666667,17,15,1,Sunday,1,8.15
354,15.70833333,18,15,1,Sunday,1,8.144444444
355,15.75,19,15,1,Sunday,1,8.138888889
356,15.79166667,20,15,1,Sunday,1,8.133333333
357,15.83333333,21,15,1,Sunday,1,8.127777778
358,15.875,22,15,1,Sunday,1,8.122222222
359,15.91666667,23,15,1,Sunday,1,8.122222222
360,15.95833333,24,15,1,Sunday,1,8.116666667
361,16,1,16,2,Monday,1,8.111111111
362,16.04166667,2,16,2,Monday,1,8.105555556
363,16.08333333,3,16,2,Monday,1,8.1
364,16.125,4,16,2,Monday,1,8.094444444
365,16.16666667,5,16,2,Monday,1,8.094444444
366,16.20833333,6,16,2,Monday,1,8.088888889
367,16.25,7,16,2,Monday,1,8.083333333
368,16.29166667,8,16,2,Monday,1,8.077777778
369,16.33333333,9,16,2,Monday,1,8.077777778
370,16.375,10,16,2,Monday,1,8.072222222
371,16.41666667,11,16,2,Monday,1,8.072222222
372,16.45833333,12,16,2,Monday,1,8.066666667
373,16.5,13,16,2,Monday,1,8.066666667
374,16.54166667,14,16,2,Monday,1,8.061111111
375,16.58333333,15,16,2,Monday,1,8.061111111
376,16.625,16,16,2,Monday,1,8.055555556
377,16.66666667,17,16,2,Monday,1,8.055555556
378,16.70833333,18,16,2,Monday,1,8.05
379,16.75,19,16,2,Monday,1,8.05
380,16.79166667,20,16,2,Monday,1,8.05
381,16.83333333,21,16,2,Monday,1,8.044444444
382,16.875,22,16,2,Monday,1,8.044444444
383,16.91666667,23,16,2,Monday,1,8.038888889
384,16.95833333,24,16,2,Monday,1,8.033333333
385,17,1,17,3,Tuesday,1,8.027777778
386,17.04166667,2,17,3,Tuesday,1,8.022222222
387,17.08333333,3,17,3,Tuesday,1,8.016666667
388,17.125,4,17,3,Tuesday,1,8.011111111
389,17.16666667,5,17,3,Tuesday,1,8.005555556
390,17.20833333,6,17,3,Tuesday,1,8
391,17.25,7,17,3,Tuesday,1,8
392,17.29166667,8,17,3,Tuesday,1,7.994444444
393,17.33333333,9,17,3,Tuesday,1,7.988888889
394,17.375,10,17,3,Tuesday,1,7.988888889
395,17.41666667,11,17,3,Tuesday,1,7.983333333
396,17.45833333,12,17,3,Tuesday,1,7.983333333
397,17.5,13,17,3,Tuesday,1,7.983333333
398,17.54166667,14,17,3,Tuesday,1,7.983333333
399,17.58333333,15,17,3,Tuesday,1,7.977777778
400,17.625,16,17,3,Tuesday,1,7.977777778
401,17.66666667,17,17,3,Tuesday,1,7.977777778
402,17.70833333,18,17,3,Tuesday,1,7.977777778
403,17.75,19,17,3,Tuesday,1,7.977777778
404,17.79166667,20,17,3,Tuesday,1,7.977777778
405,17.83333333,21,17,3,Tuesday,1,7.972222222
406,17.875,22,17,3,Tuesday,1,7.972222222
407,17.91666667,23,17,3,Tuesday,1,7.972222222
408,17.95833333,24,17,3,Tuesday,1,7.966666667
409,18,1,18,4,Wednesday,1,7.966666667
410,18.04166667,2,18,4,Wednesday,1,7.961111111
411,18.08333333,3,18,4,Wednesday,1,7.961111111
412,18.125,4,18,4,Wednesday,1,7.955555556
413,18.16666667,5,18,4,Wednesday,1,7.955555556
414,18.20833333,6,18,4,Wednesday,1,7.95
415,18.25,7,18,4,Wednesday,1,7.95
416,18.29166667,8,18,4,Wednesday,1,7.95
417,18.33333333,9,18,4,Wednesday,1,7.944444444
418,18.375,10,18,4,Wednesday,1,7.944444444
419,18.41666667,11,18,4,Wednesday,1,7.944444444
420,18.45833333,12,18,4,Wednesday,1,7.95
421,18.5,13,18,4,Wednesday,1,7.95
422,18.54166667,14,18,4,Wednesday,1,7.95
423,18.58333333,15,18,4,Wednesday,1,7.944444444
424,18.625,16,18,4,Wednesday,1,7.944444444
425,18.66666667,17,18,4,Wednesday,1,7.944444444
426,18.70833333,18,18,4,Wednesday,1,7.944444444
427,18.75,19,18,4,Wednesday,1,7.944444444
428,18.79166667,20,18,4,Wednesday,1,7.944444444
429,18.83333333,21,18,4,Wednesday,1,7.944444444
430,18.875,22,18,4,Wednesday,1,7.938888889
431,18.91666667,23,18,4,Wednesday,1,7.938888889
432,18.95833333,24,18,4,Wednesday,1,7.938888889
433,19,1,19,5,Thursday,1,7.938888889
434,19.04166667,2,19,5,Thursday,1,7.938888889
435,19.08333333,3,19,5,Thursday,1,7.933333333
436,19.125,4,19,5,Thursday,1,7.933333333
437,19.16666667,5,19,5,Thursday,1,7.933333333
438,19.20833333,6,19,5,Thursday,1,7.933333333
439,19.25,7,19,5,Thursday,1,7.933333333
440,19.29166667,8,19,5,Thursday,1,7.933333333
441,19.33333333,9,19,5,Thursday,1,7.927777778
442,19.375,10,19,5,Thursday,1,7.927777778
443,19.41666667,11,19,5,Thursday,1,7.927777778
444,19.45833333,12,19,5,Thursday,1,7.922222222
445,19.5,13,19,5,Thursday,1,7.922222222
446,19.54166667,14,19,5,Thursday,1,7.916666667
447,19.58333333,15,19,5,Thursday,1,7.916666667
448,19.625,16,19,5,Thursday,1,7.911111111
449,19.66666667,17,19,5,Thursday,1,7.911111111
450,19.70833333,18,19,5,Thursday,1,7.905555556
451,19.75,19,19,5,Thursday,1,7.905555556
452,19.79166667,20,19,5,Thursday,1,7.905555556
453,19.83333333,21,19,5,Thursday,1,7.9
454,19.875,22,19,5,Thursday,1,7.9
455,19.91666667,23,19,5,Thursday,1,7.894444444
456,19.95833333,24,19,5,Thursday,1,7.894444444
457,20,1,20,6,Friday,1,7.888888889
458,20.04166667,2,20,6,Friday,1,7.888888889
459,20.08333333,3,20,6,Friday,1,7.888888889
460,20.125,4,20,6,Friday,1,7.883333333
461,20.16666667,5,20,6,Friday,1,7.883333333
462,20.20833333,6,20,6,Friday,1,7.877777778
463,20.25,7,20,6,Friday,1,7.872222222
464,20.29166667,8,20,6,Friday,1,7.866666667
465,20.33333333,9,20,6,Friday,1,7.866666667
466,20.375,10,20,6,Friday,1,7.861111111
467,20.41666667,11,20,6,Friday,1,7.855555556
468,20.45833333,12,20,6,Friday,1,7.85
469,20.5,13,20,6,Friday,1,7.85
470,20.54166667,14,20,6,Friday,1,7.844444444
471,20.58333333,15,20,6,Friday,1,7.838888889
472,20.625,16,20,6,Friday,1,7.838888889
473,20.66666667,17,20,6,Friday,1,7.833333333
474,20.70833333,18,20,6,Friday,1,7.827777778
475,20.75,19,20,6,Friday,1,7.827777778
476,20.79166667,20,20,6,Friday,1,7.822222222
477,20.83333333,21,20,6,Friday,1,7.816666667
478,20.875,22,20,6,Friday,1,7.811111111
479,20.91666667,23,20,6,Friday,1,7.805555556
480,20.95833333,24,20,6,Friday,1,7.8
481,21,1,21,7,Saturday,1,7.8
482,21.04166667,2,21,7,Saturday,1,7.794444444
483,21.08333333,3,21,7,Saturday,1,7.788888889
484,21.125,4,21,7,Saturday,1,7.783333333
485,21.16666667,5,21,7,Saturday,1,7.777777778
486,21.20833333,6,21,7,Saturday,1,7.772222222
487,21.25,7,21,7,Saturday,1,7.766666667
488,21.29166667,8,21,7,Saturday,1,7.761111111
489,21.33333333,9,21,7,Saturday,1,7.755555556
490,21.375,10,21,7,Saturday,1,7.75
491,21.41666667,11,21,7,Saturday,1,7.738888889
492,21.45833333,12,21,7,Saturday,1,7.733333333
493,21.5,13,21,7,Saturday,1,7.727777778
494,21.54166667,14,21,7,Saturday,1,7.722222222
495,21.58333333,15,21,7,Saturday,1,7.716666667
496,21.625,16,21,7,Saturday,1,7.711111111
497,21.66666667,17,21,7,Saturday,1,7.705555556
498,21.70833333,18,21,7,Saturday,1,7.7
499,21.75,19,21,7,Saturday,1,7.694444444
500,21.79166667,20,21,7,Saturday,1,7.694444444
501,21.83333333,21,21,7,Saturday,1,7.688888889
502,21.875,22,21,7,Saturday,1,7.688888889
503,21.91666667,23,21,7,Saturday,1,7.683333333
504,21.95833333,24,21,7,Saturday,1,7.677777778
505,22,1,22,1,Sunday,1,7.672222222
506,22.04166667,2,22,1,Sunday,1,7.672222222
507,22.08333333,3,22,1,Sunday,1,7.666666667
508,22.125,4,22,1,Sunday,1,7.661111111
509,22.16666667,5,22,1,Sunday,1,7.661111111
510,22.20833333,6,22,1,Sunday,1,7.661111111
511,22.25,7,22,1,Sunday,1,7.661111111
512,22.29166667,8,22,1,Sunday,1,7.655555556
513,22.33333333,9,22,1,Sunday,1,7.655555556
514,22.375,10,22,1,Sunday,1,7.655555556
515,22.41666667,11,22,1,Sunday,1,7.655555556
516,22.45833333,12,22,1,Sunday,1,7.65
517,22.5,13,22,1,Sunday,1,7.65
518,22.54166667,14,22,1,Sunday,1,7.65
519,22.58333333,15,22,1,Sunday,1,7.65
520,22.625,16,22,1,Sunday,1,7.65
521,22.66666667,17,22,1,Sunday,1,7.65
522,22.70833333,18,22,1,Sunday,1,7.65
523,22.75,19,22,1,Sunday,1,7.65
524,22.79166667,20,22,1,Sunday,1,7.65
525,22.83333333,21,22,1,Sunday,1,7.65
526,22.875,22,22,1,Sunday,1,7.65
527,22.91666667,23,22,1,Sunday,1,7.65
528,22.95833333,24,22,1,Sunday,1,7.655555556
529,23,1,23,2,Monday,1,7.655555556
530,23.04166667,2,23,2,Monday,1,7.655555556
531,23.08333333,3,23,2,Monday,1,7.655555556
532,23.125,4,23,2,Monday,1,7.655555556
533,23.16666667,5,23,2,Monday,1,7.655555556
534,23.20833333,6,23,2,Monday,1,7.661111111
535,23.25,7,23,2,Monday,1,7.661111111
536,23.29166667,8,23,2,Monday,1,7.661111111
537,23.33333333,9,23,2,Monday,1,7.661111111
