Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,653416637.4159964,365440536.7415161,0.0,15989011.752955725,0.0,0.0,271987088.9215259,271987088.9215259,0.0,0.0,0.0
 July,626922230.4293389,0.0,308409671.53558165,46525469.97223247,0.0,0.0,271987088.9215259,271987088.9215259,0.0,0.0,0.0
 December,30653380830.0915,3817796219.181826,10724181244.546339,1929219444.0252879,0.0,0.0,14182183922.334993,14182183922.334993,0.0,0.0,0.0
