Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,138209135.67388416,0.0,8134855.340995227,778660.3469669849,0.0,25559374.16645451,60536245.81946747,43200000.0,0.0,0.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,429164008.1941638,273238108.2039684,0.0,16383318.6215837,0.0,35806335.54914408,60536245.81946747,43200000.0,0.0,0.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,62456959287.28755,12043213545.058135,504624426.92134228,714050386.194156,0.0,11331341205.011706,22095729724.107828,15768000000.0,0.0,0.0,5876392961.87614,5876392961.87614,5876392961.87614
