Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,0.09400572748694035,2.0635956370106416,0.0,0.0,0.0,0.0,0.0,0.0,138209135.67388416,0.0,8134855.340995227,778660.3469669849,0.0,25559374.16645451,60536245.81946747,43200000.0,0.0,0.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,0.12126652618816196,0.7458326342966936,0.0,0.0,0.0,0.0,17280000.0,255958108.2039684,429164008.1941638,273238108.2039684,0.0,16383318.6215837,0.0,35806335.54914408,60536245.81946747,43200000.0,0.0,0.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,0.10265063026103527,1.6116482799669179,0.0,0.0,4724538793.514539,247391994.7344406,2764002099.5973489,4307280657.211839,62456959287.28755,12043213545.058135,504624426.92134228,714050386.194156,0.0,11331341205.011706,22095729724.107828,15768000000.0,0.0,0.0,5876392961.87614,5876392961.87614,5876392961.87614
