Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,0.6,18.0565178346313,48.333438975094666,582.5879278404853,44.02328044834971,96.9345279412301,0.0
 01/01  02:00:00,0.6,17.977798378629714,55.57113533300315,666.8360860115902,50.610472348220895,81.50250249536866,0.0
 01/01  03:00:00,1.1,18.166266797853066,66.46320371251127,795.8542005391873,62.48110066896741,58.35975665379427,0.0
 01/01  04:00:00,1.1,18.188580796053333,68.6605272562939,824.3068982861726,64.54718699941422,53.67608483166673,0.0
 01/01  05:00:00,1.1,18.19898830028816,71.04684112704788,852.9418686452742,66.80231477213226,48.590257373455145,0.0
 01/01  06:00:00,1.1,17.991823918954797,64.75139879526081,802.636258269029,43.22868952865662,62.445003834798385,0.0
 01/01  07:00:00,1.1,17.90385605949227,74.54161733201832,924.3855670588433,40.68063605495547,41.86543253696469,0.0
 01/01  08:00:00,1.1,18.11707226616851,84.86465792854302,1046.4146261578128,46.288397073659965,19.967856626608803,0.0
 01/01  09:00:00,0.6,18.2073685179755,77.5491156938551,973.068204684679,40.87859678542118,35.43008186706567,0.0
 01/01  10:00:00,1.1,18.986839732049244,94.81087159606952,1165.531765276944,51.38987879952051,0.0,783.4423909901798
 01/01  11:00:00,2.8,19.379430130025455,79.05370495566983,1020.1328668105739,39.113678235795895,32.64668322180262,0.0
 01/01  12:00:00,3.9,19.46722688747656,65.92792762665437,859.3110474853025,36.76656848521116,60.5166112243752,0.0
 01/01  13:00:00,5.0,19.502897430788536,43.40961200247425,582.2736408116359,20.12237778996873,108.28410554517762,0.0
 01/01  14:00:00,6.1,19.28149113817939,24.213749571301097,362.80195785509306,0.0,148.92199773363353,0.0
 01/01  15:00:00,6.7,19.23928773696983,21.488440797213617,323.01508118478193,0.0,154.6709350194299,0.0
 01/01  16:00:00,6.1,19.34437461146198,29.93739826059897,446.5838957855096,0.0,136.8481741458011,0.0
 01/01  17:00:00,5.6,19.37079543712821,32.42530684996536,482.484875138159,0.0,131.60002370169207,0.0
 01/01  18:00:00,5.0,19.3934738600845,48.07509828975876,571.9332105931463,65.1386781024353,98.06147289155793,0.0
 01/01  19:00:00,3.9,19.359078768774538,53.941083273193456,643.7262891396016,68.59120755211195,85.37376708188387,0.0
 01/01  20:00:00,3.3,19.17640066401265,53.49110712329566,639.0669873375153,65.67370927240421,86.20579609476349,0.0
 01/01  21:00:00,1.7,19.29048224982984,70.79841371775322,845.7391935091393,78.92259331626788,48.99750928619897,0.0
 01/01  22:00:00,1.1,19.346295954221397,79.57580588176529,953.2553391574802,85.50306512848567,30.129022464185784,0.0
 01/01  23:00:00,1.1,19.3377812241138,90.88405069138531,1080.1277292536263,97.72721262622912,5.99161817001137,0.0
 01/01  24:00:00,0.6,18.23189423494855,47.292356493699394,561.6836486566531,49.28155081919937,98.9786200580265,0.0
