Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,1245645934.4785688,951441331.5395489,0.0,9412202.939020865,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,771005070.9963125,0.0,351405764.34211105,24017806.654201202,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,29158631844.04587,6954218333.740112,4421167191.718532,413089147.1589148,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
