Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 June,526116453.7291994,7617931.322121721,330128306.9002637,30096215.50681414,0.0,0.0,158274000.0000007,158274000.0000007,0.0,0.0,0.0
 December,1640417083.0178063,674343609.2203094,0.0,47736873.79749837,0.0,0.0,918336599.9999969,918336599.9999969,0.0,0.0,0.0
 December,41634684583.50089,13429327699.227915,3741733739.298566,1294738791.2243958,0.0,0.0,23168884353.750557,23168884353.750557,0.0,0.0,0.0
