Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,2979330995.160057,2409976382.763633,28875812.3964244,0.0,0.0,540478799.9999994,540478799.9999994,0.0,0.0,0.0
 July,507966299.9999984,0.0,0.0,0.0,0.0,507966299.9999984,507966299.9999984,0.0,0.0,0.0
 December,67029106748.60166,39065861879.510475,468078652.88861316,0.0,0.0,27495166216.203094,27495166216.203094,0.0,0.0,0.0
