Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,1612096793.4601114,1220947481.2297337,0.0,12078312.230377326,0.0,0.0,379070999.9999996,379070999.9999996,0.0,0.0,0.0
 July,1870417840.2116091,0.0,544363409.3889513,37551430.82265736,0.0,0.0,1288502999.9999979,1288502999.9999979,0.0,0.0,0.0
 December,41771098947.524055,7307052448.101094,6508824195.946983,567577691.3329108,0.0,0.0,27387644612.14242,27387644612.14242,0.0,0.0,0.0
