Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.7386181538945843,0.71964709636915,0.9258216993161192,0.0,0.0,1870492789.9553778,2426288727.381633,1870492789.9553804,22411837.42625635,0.0,0.0,533384100.0000017,533384100.0000017,0.0,0.0,0.0
 August,0.32650645334339223,0.5154092796304797,0.5278261909960855,0.0,167.99999999999997,0.0,826632748.0519513,0.0,0.0,0.0,0.0,826632748.0519513,826632748.0519513,0.0,0.0,0.0
 December,0.5212427378922047,0.5586892269770427,0.6515073564923349,0.0,3692.8333333333344,35479687631.241806,64573352139.46057,35479687631.24179,425109893.711333,0.0,0.0,28668554614.506268,28668554614.506268,0.0,0.0,0.0
