Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 June,0.2711003178139784,3.134737421072644,0.0,120.16666666666666,0.0,291779999.9999998,0.0,0.0,0.0,0.0,291779999.9999998,291779999.9999998,0.0,0.0,0.0
 December,0.5054821941344284,6.999230085968528,0.0,0.0,2520353724.694567,3127888554.3742323,2520353724.6945677,30198329.679667912,0.0,0.0,577336500.0000005,577336500.0000005,0.0,0.0,0.0
 December,0.36322081098029363,4.793801656584968,0.0,1824.6666666666658,36437568031.255264,57799361952.59992,36437568031.254974,436587010.82337946,0.0,0.0,20925206910.5213,20925206910.5213,0.0,0.0,0.0
