Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,4.4,16.101095503228198,83.54823208902,1041.75663902405,84.13859649065428,125.49597720179517,0.0
 01/01  02:00:00,5.0,16.79196242969124,128.3453628173685,1571.0989138883988,134.13149093777955,85.6547914652227,0.0
 01/01  03:00:00,3.9,16.934700431787878,138.33693680208705,1693.9169189090103,148.57191619673657,76.47201184849686,0.0
 01/01  04:00:00,3.9,17.089405050089756,131.70068222260767,1617.4395830464605,141.29608734171555,82.39825626963552,0.0
 01/01  05:00:00,3.9,17.03629262107299,124.73061781712327,1517.4219806222443,145.53744020144356,88.55226308641895,0.0
 01/01  06:00:00,3.9,16.83977839562398,111.024283081126,1349.1222211556662,129.65652306284886,100.79846212694544,0.0
 01/01  07:00:00,3.3,16.786791357969985,113.22413884202494,1371.6347085285602,127.66158862472571,98.73095942955584,0.0
 01/01  08:00:00,3.3,16.708582569763394,134.66824240011627,1629.2403736222172,152.0514319062688,79.54983994004495,0.0
 01/01  09:00:00,3.3,18.370457924077936,225.36280814853515,2699.7674399255006,252.66904280772826,0.0,212.66316639740762
 01/01  10:00:00,3.9,19.047861355525253,206.6021356986752,2575.672026812547,242.08089900527887,15.386032537927985,0.0
 01/01  11:00:00,6.1,19.449107950281416,105.83509180385735,1661.477360293121,0.0,106.0758137748247,0.0
 01/01  12:00:00,3.9,19.33538291922964,84.03259928538047,1084.8773283913397,90.41501572370889,124.95634980969679,0.0
 01/01  13:00:00,5.0,18.952056102191438,85.3057932707727,1093.301022135966,100.12814381746901,123.95234134452488,0.0
 01/01  14:00:00,6.7,19.036550142485726,55.964936648930724,882.7049128528428,0.0,150.33347595487484,0.0
 01/01  15:00:00,7.8,19.402014165614492,48.69247448778292,778.720748678046,0.0,156.78747980838966,0.0
 01/01  16:00:00,7.8,19.42672149271403,26.73269897296422,430.56921478565806,0.0,176.27585563688498,0.0
 01/01  17:00:00,7.8,18.8882897180644,34.35216729137985,553.5381206055762,0.0,169.5138984346179,0.0
 01/01  18:00:00,6.7,18.71383076740437,52.66307906488917,829.5958763190483,0.0,153.2637354871978,0.0
 01/01  19:00:00,6.7,19.349847227121955,75.99629569973942,1193.004197755042,0.0,132.55648851371186,0.0
 01/01  20:00:00,6.1,19.188601610210842,78.66345971579291,1242.3355207544398,0.0,130.18949278982507,0.0
 01/01  21:00:00,5.0,19.100154204510414,105.2311188796168,1382.5472928725253,101.89109914215516,106.273238974831,0.0
 01/01  22:00:00,4.4,19.12128615765942,129.12400016431343,1654.4078593534985,142.87471112765576,84.78517639136889,0.0
 01/01  23:00:00,3.9,17.037910733451834,34.66190747041577,448.96840491265203,34.72307431988314,169.06121336401978,0.0
 01/01  24:00:00,3.3,17.0189202224166,70.47392612147809,894.5113809947358,56.226628398557864,137.12474936767137,0.0
