Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.258333333333333,8.822222222,0.0,448.0019352509458,0.0,19.975497418512337,9.627129819581876,18.914497618370337,27.348102534299965,0.0,376.0932789942778,0.0,171.155098488269,0.0
 01/01  02:00:00,8.091666666666667,8.822222222,0.0,412.13799711348946,0.0,19.970166854520684,8.757195009980897,19.113208418274088,25.25898510388781,0.0,346.8605052997202,0.0,173.35855616695446,0.0
 01/01  03:00:00,7.658333333333334,8.827777778,0.0,379.5727826983834,0.0,19.96133559911025,7.818696609406179,18.947606434126616,27.41015998336513,0.0,374.4147730927823,0.0,171.08964455031818,0.0
 01/01  04:00:00,7.2,8.827777778,0.0,343.6905922062261,0.0,19.97022199337826,7.118283797681111,18.832921934044734,29.998737052085833,0.0,407.5425119093122,0.0,168.3593911256381,0.0
 01/01  05:00:00,7.2,8.833333333,0.0,316.01131806768143,0.0,19.967834472586254,5.883851196451732,18.705055295589638,31.5998270455874,0.0,429.24325222557644,0.0,166.67067129156376,0.0
 01/01  06:00:00,6.908333333333334,8.833333333,0.0,299.92201989522954,0.0,19.96277265434723,5.286344539401406,18.3789066182054,35.04160417897009,0.0,473.916241243117,0.0,163.04052099820294,0.0
 01/01  07:00:00,6.700000000000002,8.838888889000001,0.0,320.98373461422915,0.0,19.96659477963519,5.574353054495899,18.30253788725341,37.59212145829152,0.0,507.12895323487345,0.0,160.3504104271414,0.0
 01/01  08:00:00,6.700000000000002,8.844444444000002,0.0,497.41192158113523,0.0,19.96701391931806,6.325190487222876,18.25792840151027,37.64436919458161,0.0,507.810771246591,0.0,160.29530310093446,0.0
 01/01  09:00:00,6.991666666666667,8.85,0.0,593.5036314055866,0.0,19.97072050136574,6.601822432313958,18.34170177070834,33.747102569458455,0.0,456.71765271939745,0.0,164.40587244758808,0.0
 01/01  10:00:00,7.2,8.85,0.0,642.0963062209688,0.0,19.963072987626756,7.778629786505981,18.160411222535146,30.20350499318671,0.0,409.63122247508903,0.0,168.14341595564568,0.0
 01/01  11:00:00,7.55,8.855555556,0.0,620.8109061866421,0.0,19.96916990598931,9.015821619790156,17.861565922588095,31.0538876241076,0.0,422.2303703617718,0.0,167.24649072270006,0.0
 01/01  12:00:00,8.441666666666666,8.861111111,0.0,632.098130057941,0.0,19.968364908183847,9.971669685365763,17.797147698247837,26.662424329725408,0.0,366.12881549510007,0.0,171.8783047968196,0.0
 01/01  13:00:00,9.541666666666666,8.861111111,0.0,627.9670240656275,0.0,19.96733630572641,10.931556529595793,17.72485557441583,23.878743519913645,0.0,332.11977086049137,0.0,145.50978587005093,0.0
 01/01  14:00:00,10.0,8.861111111,0.0,601.8902840121476,0.0,19.967141505593194,11.376196250149617,17.66607594132483,23.412896594952212,0.0,327.42469810181746,0.0,0.0,0.0
 01/01  15:00:00,10.350000000000001,8.861111111,0.0,660.7214564705723,0.0,19.970317873534864,11.00423035375285,17.658388961559133,22.260982663104613,0.0,312.64340448541026,0.0,0.0,0.0
 01/01  16:00:00,10.600000000000001,8.861111111,0.0,633.5815059293313,0.0,19.967925735072612,10.513152071157384,17.680002658959285,20.472464945664136,0.0,288.46500544046074,0.0,0.0,0.0
