Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.4416666666666664,19.904331201730603,3.285993454253705,0.0,0.0
 01/01  02:00:00,3.5500000000000003,19.916976183378814,1.282439234432156,0.0,0.0
 01/01  03:00:00,3.65,19.565522913257542,0.9966076304961983,0.0,0.0
 01/01  04:00:00,3.899999999999999,19.355528305639282,0.31320615336763313,0.0,0.0
 01/01  05:00:00,4.191666666666666,19.16719409752417,-1.4112330531943795,0.0,0.0
 01/01  06:00:00,5.391666666666667,19.05091469787366,-0.8289941858506702,0.0,0.0
 01/01  07:00:00,6.1000000000000005,18.80134776488506,2.447845048215534,0.0,0.0
 01/01  08:00:00,5.458333333333333,18.559799710125557,3.7974563122685794,0.0,0.0
 01/01  09:00:00,5.3500000000000005,18.609800458937556,5.180023587887704,0.0,0.0
 01/01  10:00:00,5.891666666666666,18.473745004081355,6.193223349217401,0.0,0.0
 01/01  11:00:00,6.1000000000000005,18.59566812346389,5.924959081170731,0.0,0.0
 01/01  12:00:00,6.45,18.756144486701043,7.2297858765588074,0.0,0.0
 01/01  13:00:00,6.700000000000002,18.801955070349987,8.534733861016438,0.0,0.0
 01/01  14:00:00,6.991666666666667,19.129742298640274,9.183360408452895,0.0,0.0
 01/01  15:00:00,7.841666666666666,19.689984053032983,9.601373361952087,0.0,0.0
 01/01  16:00:00,7.658333333333334,19.54292548917427,8.921311716694836,0.0,0.0
 01/01  17:00:00,6.558333333333334,18.72534350736316,7.247754278658189,0.0,0.0
 01/01  18:00:00,5.458333333333333,17.996665205917797,7.895152007055643,5.413534916934161,451.8138266715264
 01/01  19:00:00,4.650000000000001,17.94101081363614,9.15648221789999,8.077016999457141,674.1081409118183
 01/01  20:00:00,3.7583333333333333,17.940351733738492,9.591333986121363,7.552997454515747,630.3734500890006
 01/01  21:00:00,3.008333333333333,17.939866626989005,9.175487104306015,9.208138789115761,768.5116077886204
 01/01  22:00:00,3.4416666666666664,17.939774922727207,8.66419846362132,9.56554951735408,798.3411205370604
 01/01  23:00:00,3.5500000000000003,17.938047021293585,8.687764171124721,13.894418613973505,1159.6286972710043
 01/01  24:00:00,3.008333333333333,17.938061288199858,8.508207125655288,15.834816713023935,1321.5743952022608
 01/02  01:00:00,2.158333333333333,17.937210395135033,8.747148472227709,17.33418738771552,1446.7119277990078
 01/02  02:00:00,1.7,17.936556232457296,9.087144173864539,19.893259191494433,1660.292156269642
 01/02  03:00:00,0.7083333333333335,17.937153560331243,9.809603045929341,24.507504927985124,2045.3972780423312
 01/02  04:00:00,0.9916666666666667,17.935993997486243,9.469555845014447,25.792921098820553,2152.6781597438426
 01/02  05:00:00,1.3500000000000003,17.934996694212575,9.134380892357742,25.60635160593237,2137.1070628883867
 01/02  06:00:00,1.0999999999999999,17.93506857179654,9.657474060079709,26.0912505913233,2177.5767503477396
 01/02  07:00:00,1.0999999999999999,17.934608309250514,9.814991502904135,27.009045574548427,2254.175953979682
 01/02  08:00:00,0.4583333333333333,17.933778654319724,10.304645644017404,30.172610315439172,2518.207185593949
 01/02  09:00:00,0.0,17.938681419974476,12.145740328755707,24.780784129636544,2068.205170434719
 01/02  10:00:00,0.35000000000000003,17.940289844309135,15.454411409935759,17.171949838307796,1433.1715758566158
 01/02  11:00:00,1.8833333333333335,17.941932251777967,19.38273583971236,8.19814697782851,684.2176534378037
 01/02  12:00:00,3.4416666666666664,18.26603886389305,19.627485634497756,0.06460262776409204,5.391737729782819
 01/02  13:00:00,4.891666666666667,18.962084878357146,19.54912178748763,0.0,0.0
 01/02  14:00:00,5.891666666666666,19.647101275088854,18.120157798130823,0.0,0.0
 01/02  15:00:00,6.741666666666667,20.14689143987464,16.77101476299587,0.0,0.0
 01/02  16:00:00,7.2,19.999618705982886,13.172825889248132,0.0,0.0
 01/02  17:00:00,6.908333333333334,19.434329306165882,9.342111623921772,0.0,0.0
