Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),WATER HEATER:Water Heater Electricity Rate [W](Hourly)
 01/01  01:00:00,-17.5,10.79322199739079,137.44890375369097,607.4902723735411,0.0,20.547990640028539,-5.7610138684567639,11.6035016473487,968.4286815401245,0.0,0.0
 01/01  02:00:00,-20.5,10.79322199739079,137.44890375369097,559.338521400778,0.0,20.548082460200559,-8.184350125245672,23.347163418622146,1948.5551322659804,0.0,0.0
 01/01  03:00:00,-19.5,10.79322199739079,137.44890375369097,552.853437094682,0.0,20.5421800471576,-9.871316743245814,29.577072024116136,2468.5035375228155,0.0,0.0
 01/01  04:00:00,-19.0,10.79322199739079,137.44890375369097,545.071335927367,0.0,20.52339180199863,-10.272863035026765,33.60054767174225,2804.3029655799198,0.0,396.56927631884147
 01/01  05:00:00,-19.0,10.79322199739079,412.3467112610728,524.481193255512,0.0,20.528913505032628,-10.215665527338122,35.08595743569004,2928.275320043753,0.0,0.0
 01/01  06:00:00,-17.5,10.79322199739079,859.0556484605684,585.278858625162,0.0,20.54092391447032,-9.807481705327476,32.61253626874127,2721.8434969268976,0.0,411.7956224966574
 01/01  07:00:00,-17.0,10.79322199739079,962.1423262758366,676.2321660181581,0.0,20.540611685482206,-9.049966246812499,31.093485103430475,2595.0634298468828,0.0,437.0880479371432
 01/01  08:00:00,-17.75,10.79322199739079,859.0556484605684,718.547341115435,0.0,20.542931251454168,-7.950417315062687,30.002991192010805,2504.050767207671,0.0,746.4215262930479
 01/01  09:00:00,-16.950000000000004,10.79322199739079,377.9844853226501,607.4902723735411,0.0,20.549151665801646,-6.085635118775439,22.772715575471169,1900.6116937882185,0.0,606.9519632968575
 01/01  10:00:00,-15.55,10.79322199739079,257.71669453817057,517.023346303502,0.0,20.551023053458715,-2.6431096591011595,18.83879631241204,1572.2866449371127,0.0,900.3617755389851
