Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,0.09481445045262764,2.0611306696362656,0.0,0.0,0.0,0.0,0.0,0.0,227270732.93349595,0.0,10566705.334504724,1010639.1050845138,0.0,25557142.67443915,60536245.81946747,43200000.0,86400000.0,86400000.0,0.0,0.0,0.0
 December,0.12228939176420223,0.7454998404827197,0.0,0.0,0.0,0.0,17280000.0,237900855.7303772,497506756.4298436,255180855.73037718,0.0,16383318.6215837,0.0,35806336.25841508,60536245.81946747,43200000.0,86400000.0,86400000.0,0.0,0.0,0.0
 December,0.10442263020278189,1.609413668916116,0.0,0.0,3644876669.0290524,202185935.8157445,2846452003.179307,3932008332.557472,92775949828.85239,10625522940.581618,773347542.8047842,655647455.6300774,0.0,11321702165.739678,22095729724.107828,15768000000.0,31536000000.0,31536000000.0,0.0,0.0,0.0
