Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,227270732.93349595,0.0,10566705.334504724,1010639.1050845138,0.0,25557142.67443915,60536245.81946747,43200000.0,86400000.0,86400000.0,0.0,0.0,0.0
 December,497506756.4298436,255180855.73037718,0.0,16383318.6215837,0.0,35806336.25841508,60536245.81946747,43200000.0,86400000.0,86400000.0,0.0,0.0,0.0
 December,92775949828.85239,10625522940.581618,773347542.8047842,655647455.6300774,0.0,11321702165.739678,22095729724.107828,15768000000.0,31536000000.0,31536000000.0,0.0,0.0,0.0
