Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.1,23.15570636683739,144.46835822065788,1918.277166048321,102.70020607827394,0.0,5837.775194518392
 01/01  02:00:00,-5.0,23.21763549929746,144.46835822065788,1927.334621236753,113.54249684102773,0.0,5727.247399492777
 01/01  03:00:00,-4.4,23.229911567858306,144.46835822065788,1931.7994739498827,119.8341742268343,0.0,5811.1059681797315
 01/01  04:00:00,-5.6,23.224616532088994,144.46835822065788,1951.122681484266,91.01527679961721,0.0,6673.591848196336
 01/01  05:00:00,-3.9,23.062380412691837,144.46835822065788,1933.3304109473015,125.27893201602515,0.0,5621.102259016743
 01/01  06:00:00,-2.2,23.20191041927738,144.46835822065788,1955.0520694203663,126.8649740084447,0.0,5655.326454843452
 01/01  07:00:00,-1.7,23.24233394622989,144.46835822065788,1986.0865858518478,115.84307387011769,0.0,5377.025303686315
 01/01  08:00:00,-1.1,23.248834145254545,144.46835822065788,1989.3620204851973,122.19424220924527,0.0,5402.00959154185
 01/01  09:00:00,-1.1,23.078895076713472,144.46835822065788,1989.5696833805575,122.23760130679173,0.0,4136.745028051911
 01/01  10:00:00,0.0,23.07168358552835,144.46835822065788,1984.0616328054946,134.7475122077912,0.0,2088.4164513553496
 01/01  11:00:00,1.7,23.227576138942574,144.46835822065788,2057.4253746387712,107.50752986577997,0.0,2145.283493084158
 01/01  12:00:00,2.8,22.509449640675587,144.46835822065788,2037.7529627586587,139.29156638429183,0.0,9331.508702121675
 01/01  13:00:00,3.3,23.034784719418465,144.46835822065788,2041.259798499912,123.91149743521397,0.0,1792.7274262766464
 01/01  14:00:00,3.9,23.209726937721125,144.46835822065788,2136.4753368867023,85.31291091564732,0.0,2275.895722727935
 01/01  15:00:00,3.9,23.303099155812298,102.18588560523766,1835.281985131392,54.880200522500104,0.0,0.0
 01/01  16:00:00,4.4,23.252364576651708,120.62822522909785,1945.2503608469879,99.6016122073149,0.0,0.0
 01/01  17:00:00,2.2,23.010473900277347,144.46835822065788,2099.175704793073,91.96014744254994,0.0,1543.4296079547694
 01/01  18:00:00,0.6,22.95465577446232,144.46835822065788,2044.5968317641277,99.9496407789592,0.0,3133.4063544451574
 01/01  19:00:00,-0.6,23.140321967244706,144.46835822065788,2005.2919823588668,109.48960485457698,0.0,4577.107472763706
 01/01  20:00:00,-1.7,23.201572271429296,144.46835822065788,2008.4847271985097,98.88773386777954,0.0,5136.198208950794
 01/01  21:00:00,-3.9,23.202753749350872,144.46835822065788,1976.4882504495963,94.77475565984355,0.0,6557.5787891665595
 01/01  22:00:00,-2.2,23.22629029685314,144.46835822065788,2008.5156182023534,94.37878898025188,0.0,6169.4536821232405
 01/01  23:00:00,-5.0,23.216264937863052,144.46835822065788,2009.2897093099275,58.21441645730874,0.0,7562.8031773098965
 01/01  24:00:00,-3.9,23.05225932659551,144.46835822065788,1977.0048172201655,94.83549853654289,0.0,6696.583259486349
