Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,0.3774238421379825,0.5350628920392307,0.0,0.0,887280668.5275385,23529243.04343202,5114802.9406486815,1442518664.8064566,2980259782.916032,2358443379.3180737,0.0,84490303.5979529,0.0,0.0,537326100.0000008,537326100.0000008,0.0,0.0,0.0
 July,0.15558154269144642,0.8181428195824073,0.0,32.33333333333333,0.0,0.0,0.0,0.0,995323596.8301445,0.0,589260156.9983647,49307039.83177938,0.0,0.0,356756399.9999986,356756399.9999986,0.0,0.0,0.0
 December,0.2411256828078638,0.6637062406467353,0.0,602.8333333333335,11512302357.125124,550333557.905773,1128745225.3794584,4115201264.478649,49991997715.25558,17306582404.888996,10029214937.908634,2007945534.9573007,0.0,0.0,20648254837.500374,20648254837.500374,0.0,0.0,0.0
