Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,3574346795.280996,3088914883.8509417,0.0,38265111.43005759,0.0,0.0,447166800.0000001,447166800.0000001,0.0,0.0,0.0
 August,874362752.8642741,4019448.7904800456,319715826.8064436,24279577.267350957,0.0,0.0,526347900.0000006,526347900.0000006,0.0,0.0,0.0
 December,88143826549.0513,60848298586.64483,3009956435.068578,1006370172.559204,0.0,0.0,23279201354.779305,23279201354.779305,0.0,0.0,0.0
