Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 August,0.06686398014650011,1.7914547564826126e-8,0.0,143.49999999999997,0.0,508041000.0000006,0.0,0.0,0.0,0.0,508041000.0000006,508041000.0000006,0.0,0.0,0.0
 December,0.14233732664848558,2.5961457116916596e-8,0.0,0.0,2977374934.0511565,3583813892.3735094,2977374934.051156,35674258.32235216,0.0,0.0,570764699.9999989,570764699.9999989,0.0,0.0,0.0
 December,0.08341424463578184,1.398182251663055e-8,0.0,3761.999999999998,36940673054.13695,51919826246.16251,36940673054.13687,442615525.4691831,0.0,0.0,14536537666.554867,14536537666.554867,0.0,0.0,0.0
