Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),WaterSystems:NaturalGas [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 August,181178467.69507245,0.0,16807717.57014542,1551625.550471644,0.0,717120.0000000001,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,77442119.40522607,77442119.40522607,0.0,0.0
 December,264181788.62656758,94423026.86453152,0.0,6939637.187580761,0.0,717120.0,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,78013495.87396741,78013495.87396741,0.0,0.0
 December,69434758181.41147,8428871685.286171,1004151386.0450934,572754640.3996147,0.0,261748800.0,22095729724.14978,15768000000.0,21303501945.526597,21303501945.526597,17758884226.053586,17758884226.053586,0.0,0.0
