Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.116666666666667,8.822222222,0.0,214.31229274523886,0.0,19.966171618061082,9.394221265882775,18.532414899871878,30.617332232661415,0.0,429.5208416033083,0.0,82.8737476411991,0.0
 01/01  02:00:00,11.908333333333331,8.822222222,0.0,197.1559320147738,0.0,19.9738465413024,10.810302249793843,18.435725545047934,26.77116214314883,0.0,384.5740403774509,0.0,0.0,0.0
 01/01  03:00:00,11.700000000000001,8.827777778,0.0,181.57759358386417,0.0,19.962738138905152,11.11994122696307,18.31249923885588,27.338095507114755,0.0,391.42162666543754,0.0,0.0,0.0
 01/01  04:00:00,11.700000000000001,8.827777778,0.0,164.41250140900976,0.0,19.969617348525166,11.086715196310914,18.19713405439258,27.799400928296702,0.0,397.89743423379355,0.0,0.0,0.0
 01/01  05:00:00,11.35,8.833333333,0.0,151.17146775402628,0.0,19.962357517594707,10.744037990525888,18.036808209776712,28.794627823283662,0.0,410.0271642813388,0.0,0.0,0.0
 01/01  06:00:00,11.1,8.833333333,0.0,143.47477247509073,0.0,19.978217096151948,9.779664034002174,18.001413067465183,27.632890241053534,0.0,392.21976919230684,0.0,0.0,0.0
 01/01  07:00:00,10.808333333333332,8.838888889000001,0.0,153.55014049341546,0.0,19.97090223251242,8.339303759603796,18.22540713195286,23.115886498841707,0.0,327.07135052483585,0.0,0.0,0.0
 01/01  08:00:00,10.25,8.844444444000002,0.0,237.9487251392247,0.0,19.96584961149736,7.010111403307968,18.26244433442648,23.199778769327576,0.0,326.0182337622817,0.0,0.0,0.0
 01/01  09:00:00,10.0,8.85,0.0,283.91646104811747,0.0,19.966826580418168,6.8699734865807045,18.03013906037597,17.18883831385749,0.0,240.6773254360689,0.0,0.0,0.0
 01/01  10:00:00,10.350000000000001,8.85,0.0,307.1619132010753,0.0,19.967038397329556,9.922529778278195,17.7447962719243,9.234566485987045,0.0,129.7116838667018,0.0,0.0,0.0
 01/01  11:00:00,10.600000000000001,8.855555556,0.0,296.97954003610033,0.0,19.964171409822345,11.69074597301787,17.622100125122184,10.646602420862603,0.0,149.9884670508308,0.0,0.0,0.0
 01/01  12:00:00,10.891666666666666,8.861111111,0.0,302.3790498065924,0.0,19.98765088840245,13.186091271124779,17.53044436809848,2.5141868500105313,0.0,35.475043020110256,0.0,0.0,0.0
 01/01  13:00:00,11.1,8.861111111,0.0,300.4028378148062,0.0,20.261046475586028,15.895809762240106,17.40614017926045,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,11.450000000000001,8.861111111,0.0,287.9284141383718,0.0,20.22977001495057,15.00423089319242,17.317372861228957,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,11.991666666666665,8.861111111,0.0,316.0716931342384,0.0,20.722574839600558,13.396310088046839,17.255700718674625,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,11.908333333333331,8.861111111,0.0,303.08865764304636,0.0,21.05595248749726,13.562015909943057,17.16780248895407,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,11.35,8.861111111,0.0,326.7867561731128,0.0,20.485747503589547,11.40047881655918,17.08038429497645,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,10.808333333333332,8.861111111,0.0,314.60758654268284,0.0,20.03512037310603,10.360689499918275,16.92299461576931,2.3398581491433315,0.0,32.92568929769399,0.0,0.0,0.0
 01/01  19:00:00,10.25,8.861111111,0.0,315.78119767647064,0.0,19.96773681434705,10.274173399197407,16.892857398101476,9.217943598286869,0.0,128.9680192845628,0.0,0.0,0.0
 01/01  20:00:00,10.0,8.861111111,0.0,321.95912801751393,0.0,19.971595943517908,9.931106575233505,16.9588677837021,12.788200321256975,0.0,178.46494065269255,0.0,0.0,0.0
 01/01  21:00:00,9.65,8.861111111,0.0,318.48795849242583,0.0,19.959847158528518,9.747622639678974,16.952383392892994,17.461499630700164,0.0,242.54644710479147,0.0,181.5828086623939,0.0
 01/01  22:00:00,9.4,8.866666667000002,0.0,318.5038036890108,0.0,19.97618376981914,9.490127496549574,16.945021290528995,19.991237294333118,0.0,276.9535992337925,0.0,178.91461500374828,0.0
 01/01  23:00:00,8.466666666666667,8.866666667000002,0.0,273.33844545088095,0.0,19.96283832651925,8.874684430402844,16.997524242526655,22.688213607520378,0.0,310.855735087816,0.0,176.0700294960046,0.0
 01/01  24:00:00,7.45,8.866666667000002,0.0,242.75313152091084,0.0,19.95542411393411,8.383959143876686,16.73611881576904,29.655674506671065,0.0,401.3649440590986,0.0,168.72122995238823,0.0
 01/02  01:00:00,7.2,8.866666667000002,0.0,348.6983552532715,0.0,19.978182744352548,8.245600595988394,16.877498348636937,30.412230625579692,0.0,410.59501042316856,0.0,167.9232664845152,0.0
 01/02  02:00:00,6.908333333333334,8.866666667000002,0.0,320.78397529767796,0.0,19.957882990707883,7.760812895578738,16.78701464163985,32.757770920681416,0.0,440.89766548300787,0.0,165.4493515677801,0.0
 01/02  03:00:00,6.3500000000000005,8.872222222,0.0,295.4371278590459,0.0,19.959163177019565,8.097212295154918,16.364587029226687,41.67978375265659,0.0,556.7078448324625,0.0,156.03902479640902,0.0
 01/02  04:00:00,6.1000000000000005,8.872222222,0.0,267.50854134414345,0.0,19.976393099177105,8.020812815495843,16.382834884513233,42.885422099029505,0.0,571.4340869027691,0.0,154.76740021783814,0.0
 01/02  05:00:00,6.1000000000000005,8.872222222,0.0,245.96462242935436,0.0,19.97278059999385,7.714966297581003,16.54843299955537,39.52665827229439,0.0,527.014813186925,0.0,158.30999377297886,0.0
 01/02  06:00:00,6.1000000000000005,8.872222222,0.0,233.4416590926651,0.0,19.96378889268468,7.579211648144425,16.5337208295951,40.40697507483216,0.0,538.6744767742724,0.0,157.38149603034842,0.0
 01/02  07:00:00,6.45,8.872222222,0.0,249.83485899528378,0.0,19.965977467976998,7.670211386452941,16.548143299644774,41.8396733480381,0.0,559.8527371218488,0.0,155.87038422524893,0.0
 01/02  08:00:00,6.991666666666667,8.872222222,0.0,387.1561823534443,0.0,19.971453075620566,7.586816390003371,16.58335759420424,40.03580749602647,0.0,538.9216663798749,0.0,157.77297811732572,0.0
 01/02  09:00:00,6.908333333333334,8.872222222,0.0,461.94831723672775,0.0,19.9638872767602,7.173243212058218,16.530819758533372,38.44270116827666,0.0,516.9614614487132,0.0,159.4532773287253,0.0
 01/02  10:00:00,6.3500000000000005,8.877777778,0.0,499.76999712744004,0.0,19.964528282269146,7.916253322778293,16.265703672803287,38.80722268622721,0.0,518.346898494919,0.0,159.0688050505845,0.0
 01/02  11:00:00,6.45,8.877777778,0.0,483.2026937323773,0.0,19.962974565549143,8.331312653064705,16.01841273231805,41.162001988118135,0.0,549.8798512367122,0.0,156.5851454636089,0.0
 01/02  12:00:00,6.700000000000002,8.877777778,0.0,491.9880048875463,0.0,19.971477715524866,8.305293787789568,16.02074425696593,39.540678230905904,0.0,529.6269507867783,0.0,158.29520648289758,0.0
 01/02  13:00:00,6.700000000000002,8.883333332999998,0.0,488.77259497176146,0.0,19.969292699787168,8.558671320759602,16.04001451392605,37.96733427542197,0.0,508.6406891361283,0.0,159.9546617004247,0.0
 01/02  14:00:00,6.700000000000002,8.883333332999998,0.0,468.4759943289044,0.0,19.96476933716847,8.420858035101285,15.98202032960504,38.83805672811598,0.0,520.2054470254375,0.0,159.0362834194997,0.0
 01/02  15:00:00,6.058333333333334,8.883333332999998,0.0,514.2667185640203,0.0,19.963507496898153,8.675134748653578,15.853357756965844,40.62473822884471,0.0,540.1898857483661,0.0,157.15181440170534,0.0
