Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,1855587041.9746366,1454025425.8453877,17421816.129249807,0.0,0.0,384139800.00000024,384139800.00000024,0.0,0.0,0.0
 August,644690700.0000006,0.0,0.0,0.0,0.0,644690700.0000006,644690700.0000006,0.0,0.0,0.0
 December,52579518082.39992,13959875616.796953,167264190.74936762,0.0,0.0,38452378274.85358,38452378274.85358,0.0,0.0,0.0
