Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.0,17.92765332600302,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,10.0,17.905402245285686,3.9334722249634475,59.3253313962159,0.0,0.0,0.0
 01/01  03:00:00,10.0,18.127978466909163,10.779788393263578,162.5229528046134,0.0,0.0,0.0
 01/01  04:00:00,10.6,18.173333354914188,11.192647296885996,170.7659281238115,0.0,0.0,0.0
 01/01  05:00:00,10.6,19.80989391884747,53.67221463558922,819.3957981060448,0.0,0.0,0.0
 01/01  06:00:00,10.0,20.35130957073686,52.165218416338384,814.0761853257837,0.0,0.0,0.0
 01/01  07:00:00,10.6,20.409556799708184,38.47969300674366,611.2006210968456,0.0,0.0,0.0
 01/01  08:00:00,11.7,20.426318248530357,30.35299918921653,489.36680830764163,0.0,0.0,0.0
 01/01  09:00:00,12.2,20.225171295808224,17.261260510027643,280.2177481526876,0.0,0.0,0.0
 01/01  10:00:00,11.1,20.092263215724902,13.26196314734439,211.49064277362027,0.0,0.0,0.0
 01/01  11:00:00,12.8,20.416420918803187,8.226520002407108,133.84843797979445,0.0,0.0,0.0
 01/01  12:00:00,13.3,20.92449497419567,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.3,20.13679219492376,3.5256158671227933,58.606239195758896,0.0,0.0,0.0
 01/01  14:00:00,13.9,20.363527396384438,8.52226482085722,140.9159816113443,0.0,0.0,0.0
 01/01  15:00:00,13.3,20.35770681848126,6.486366711607954,106.76530471716073,0.0,0.0,0.0
 01/01  16:00:00,12.2,20.13507265057343,4.22791165659848,68.55005015604688,0.0,0.0,0.0
 01/01  17:00:00,11.7,20.206550910572002,6.859970582713903,110.0539371644456,0.0,0.0,0.0
 01/01  18:00:00,10.0,20.25014183389355,11.620314593018023,182.738121785311,0.0,0.0,0.0
 01/01  19:00:00,10.0,20.36895113736488,15.755427517163014,247.9377955017812,0.0,0.0,0.0
 01/01  20:00:00,9.4,20.34320503283657,17.62221324632485,275.9920972138521,0.0,180.31996361660498,0.0
 01/01  21:00:00,9.4,20.074596198849243,15.988779497516928,250.28958118589165,0.0,182.14414058899007,0.0
 01/01  22:00:00,9.4,19.236568404049557,0.0,0.0,0.0,200.0,0.0
 01/01  23:00:00,8.9,18.650185107793153,0.0,0.0,0.0,200.0,0.0
 01/01  24:00:00,8.3,18.119655564948534,0.0,0.0,0.0,200.0,0.0
