Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 March,0.5443306631971937,0.3659975110161813,0.3483613969930789,0.0,2.1666666666666665,537928466.8668172,12812440.085832665,45138524.40454132,316327021.4499528,1560499159.98962,912206452.8071443,93374.04923299719,51949333.13324226,0.0,0.0,596250000.000002,596250000.000002,0.0,0.0,0.0
 August,0.16160903998161485,0.4893662447816296,0.315428362509035,0.0,3.8333333333333326,25611.774465696595,0.0,0.0,0.0,729294984.2227901,25611.77446569659,211595681.45723686,19081790.991089333,0.0,0.0,498591900.0000018,498591900.0000018,0.0,0.0,0.0
 December,0.32616424236228103,0.6958006216062291,0.49157296115806276,0.0,43.833333333333336,11161982621.560278,514797243.14933777,2066107418.8019428,934194671.4615166,46252396838.00254,14677081954.972906,3809704618.258525,1323286884.7711773,0.0,0.0,26442323379.999264,26442323379.999264,0.0,0.0,0.0
