Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,1842221236.6238582,1341561735.945049,16074300.678808814,0.0,0.0,484585199.9999998,484585199.9999998,0.0,0.0,0.0
 July,1165039200.000003,0.0,0.0,0.0,0.0,1165039200.000003,1165039200.000003,0.0,0.0,0.0
 December,51930520873.209854,16636937559.030754,199340164.17816514,0.0,0.0,35094243149.99973,35094243149.99973,0.0,0.0,0.0
