Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,3109866373.7163243,2832727252.427195,33941121.28913307,0.0,0.0,243197999.9999995,243197999.9999995,0.0,0.0,0.0
 August,648153900.0000015,0.0,0.0,0.0,0.0,648153900.0000015,648153900.0000015,0.0,0.0,0.0
 December,94757352839.3467,72998202037.61661,874648566.0151145,0.0,0.0,20884502235.71363,20884502235.71363,0.0,0.0,0.0
