Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,20.493250185733627,7.417066903752866,14.188264140053379,65.0702557629956,875.860233768185,0.0,117.64203244366579,0.0
 01/01  02:00:00,5.6,20.559941734807869,8.24171427119474,14.762004478146312,70.45260721378814,939.0725925296532,0.0,110.82971057765514,0.0
 01/01  03:00:00,5.6,20.58307789701253,8.485862677712646,14.022767516375425,70.19495616384558,938.1004350423009,0.0,111.15581374972985,0.0
 01/01  04:00:00,6.1,20.37405941820114,8.865294322316151,13.266533775267538,73.56492105312819,986.4040510295965,0.0,106.89052455172186,0.0
 01/01  05:00:00,6.1,20.51827473600235,8.94511533449184,13.062752079259579,78.54618265992646,1047.35091353277,0.0,100.58585313170252,0.0
 01/01  06:00:00,5.6,20.341630117256526,8.715812454502565,11.801787672173637,84.56054895467237,1123.1715285303574,0.0,92.97360421141659,0.0
 01/01  07:00:00,4.4,20.535936254885177,8.411627186498303,11.677651980270332,122.30717622231657,1330.6793483358686,133.65776243808186,44.392673790687748,0.0
 01/01  08:00:00,5.0,20.631904046756799,8.206660459176085,11.525662967944506,105.8867541684245,1164.0921198980066,113.86350058386765,65.44929865660866,0.0
 01/01  09:00:00,4.4,20.660902451562067,8.36730265192423,13.060770190807283,93.64238612674808,1024.3803809265899,102.26166105962045,80.86164188140053,0.0
 01/01  10:00:00,6.1,20.635627963160876,8.300188950239085,12.733083035556549,54.281962958571877,727.3524219093384,0.0,131.29653338817014,0.0
 01/01  11:00:00,6.1,20.57570937711941,8.395861136432043,12.731792166090985,52.20701529294689,698.6707873869852,0.0,133.92274824660036,0.0
 01/01  12:00:00,3.9,19.935235725322277,7.74343527135149,10.572887203940012,85.44732698243425,936.5376774221904,90.33683185551735,91.20442308288739,0.0
 01/01  13:00:00,4.0,20.45889314161405,7.752196381462667,10.415777353813596,106.90293492586383,1159.6177851083515,108.20958334079931,63.95295579643931,0.0
 01/01  14:00:00,4.0,20.59131581681451,7.86059560729626,10.767151886147845,107.45753312243818,1155.7651495429043,123.41697679865021,63.129784141237667,0.0
 01/01  15:00:00,6.0,20.590127887325278,8.366526759520326,11.452354959198198,65.45558508414439,869.4245328773675,0.0,117.15432973898818,0.0
 01/01  16:00:00,5.6,20.68370036678274,8.317843252379897,11.74978867354228,65.39577042299934,866.8410616686737,0.0,117.2300358179672,0.0
 01/01  17:00:00,4.0,20.643933238920437,8.07291297466041,12.132474069736297,84.81070560969389,935.9479504710665,85.84923776044175,92.06561300903596,0.0
 01/01  18:00:00,3.0,20.602180018374065,7.360731427529692,11.726685443592757,83.53344923901098,907.4498886607258,90.31478862708404,93.43123965878391,0.0
 01/01  19:00:00,1.7,20.58771110539525,6.267697918885114,11.348611716486165,82.36308615982895,896.3333682979551,80.6565096753069,94.75282579006658,0.0
 01/01  20:00:00,1.1,20.568368155030606,6.5576914170316409,12.890217218734895,84.3429344814598,900.5489058657367,92.30586235853005,91.94113366940474,0.0
 01/01  21:00:00,1.7,20.622742879813086,6.564670085976895,14.240848132125964,76.86726377866516,830.777754257685,81.28966012697038,101.69054056873388,0.0
 01/01  22:00:00,1.1,20.535502467321217,6.585346500138263,14.338546514797729,79.80752478143562,867.1396385449674,81.25975269985138,97.84625938851706,0.0
 01/01  23:00:00,1.1,20.54303658375232,6.616607222221152,14.444987655388167,88.77922375629727,963.3141292192379,90.3943648338766,86.36290179115356,0.0
