Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,7.833333333333333,21.154768570795287,14.407428508752389,22.13873787864446,19.455964962262147,1623.7955635400415
 01/01  02:00:00,7.0,21.155546068324583,12.595347044450705,22.13324117751715,22.68872871963299,1893.6021476582664
 01/01  03:00:00,7.0,21.146680327924027,11.442957493146478,22.03092479042984,25.499779279787827,2128.2125325618094
 01/01  04:00:00,7.0,21.14560118385333,10.97233898906826,21.93725188365092,28.03404871210239,2339.7227541822467
 01/01  05:00:00,7.0,21.14501058361461,10.790528410760865,21.849884219836724,29.841760076678813,2490.5944122908872
 01/01  06:00:00,7.0,21.144777174259076,10.732432393154097,21.768730019946748,30.930270819595687,2581.441559612672
 01/01  07:00:00,7.0,21.144919929931163,10.718904459929433,21.69352301858251,31.30104029524333,2612.3859939196045
 01/01  08:00:00,8.166666666666666,21.14580950172426,10.808314852281,21.625352957050655,30.714254187520655,2563.412803419151
 01/01  09:00:00,10.166666666666666,21.15452094159762,11.773755168603772,21.381379495379466,28.034587028563816,2339.7676820942543
 01/01  10:00:00,11.583333333333334,21.161086847855238,14.652943230525173,21.272858093195,23.101948720237033,1928.0895043660075
 01/01  11:00:00,12.0,21.15521683120844,16.332513094737056,21.25704309105029,19.115614120226784,1595.3898695322603
 01/01  12:00:00,12.583333333333334,21.157103658327085,16.7386032376272,21.179744900552752,16.590703938405298,1384.6607713080766
 01/01  13:00:00,13.583333333333334,21.160021147971424,17.355512041983296,21.15482017135257,13.635747382293589,1138.039986598879
 01/01  14:00:00,14.583333333333334,21.162747419445747,18.278338850546064,21.133669376686427,10.527335104492886,878.611781617196
 01/01  15:00:00,15.0,21.163914198033805,18.69204604866186,21.04423021657245,8.872941632322565,740.5360405439337
 01/01  16:00:00,13.833333333333334,21.16379652493175,18.661200336597936,20.796815819868048,8.767167535685116,731.7081304818786
 01/01  17:00:00,11.25,21.16074278215606,18.05940678005306,20.712018779118022,10.741531013542213,896.488580198883
 01/01  18:00:00,9.416666666666666,21.157901143491653,16.855042785369427,20.826625724032805,13.552536846952156,1131.0952322066246
 01/01  19:00:00,9.0,21.156822588594395,15.773884751914444,20.8548457551332,15.090019679655576,1259.4136069367007
 01/01  20:00:00,9.0,21.155663844459635,15.158646244650022,20.783153524911953,16.399664901339282,1368.7166461283466
 01/01  21:00:00,9.0,21.155374335029638,15.083136479316154,20.682466790052185,17.306478338909383,1444.3993295491339
 01/01  22:00:00,9.0,21.15552946754386,15.220123318167909,20.592800173096776,17.547572774403697,1464.5210801541134
 01/01  23:00:00,9.0,21.15542972203013,15.236273080835758,20.559396344515203,17.722470351809843,1479.1180385068276
 01/01  24:00:00,9.0,21.15461595067922,15.043274505627691,20.585821748458297,18.504564935665147,1544.3916817312183
 01/02  01:00:00,9.0,21.152498331198824,14.855790780366538,20.52487492288465,20.756992935249837,1732.379406833172
 01/02  02:00:00,9.0,21.15163855691894,14.980890382467216,20.420340843889093,22.806807963459402,1903.4570457650107
 01/02  03:00:00,9.0,21.15117595698455,15.088492635320797,20.39962592013131,24.027687814954177,2005.3517238402403
 01/02  04:00:00,9.0,21.1505921039822,14.988690087479076,20.37227659730898,24.98606792983799,2085.338164078586
 01/02  05:00:00,9.0,21.150321468036953,14.92639812518484,20.322693833491737,25.702375951977118,2145.121258401265
 01/02  06:00:00,9.583333333333334,21.15075544217773,14.953184285323603,20.257239008274475,25.66826133673594,2142.2740513371114
 01/02  07:00:00,10.0,21.151238306969816,15.260239725218518,20.16046491706626,25.131900153381764,2097.5093269106983
 01/02  08:00:00,10.0,21.151261150092907,15.508535478261223,20.010792112804292,24.968913766040544,2083.906476926365
 01/02  09:00:00,9.416666666666666,21.151690866368266,15.79463989303162,20.02636743728338,24.646715155282067,2057.0157688199733
 01/02  10:00:00,8.416666666666666,21.151309480980512,15.440259212482067,20.146546829867393,24.67281134886147,2059.1937581122907
 01/02  11:00:00,8.0,21.151842755801127,15.436838165112396,20.161556677659302,24.260460802484815,2024.7789660868905
 01/02  12:00:00,8.583333333333334,21.15332722365411,16.35235872839115,20.04316429641055,22.622919402237837,1888.1096995667365
 01/02  13:00:00,9.0,21.153522236526744,17.020976999546527,19.830364997261444,21.757053677095353,1815.844513756889
 01/02  14:00:00,9.0,21.1535151358779,16.924542692127527,19.700680291302362,21.826440181395018,1821.6355140012818
 01/02  15:00:00,9.0,21.153280362024862,16.73794088273658,19.61572089112526,22.003498901212968,1836.4128413805265
 01/02  16:00:00,8.416666666666666,21.152379879613317,16.658469083933802,19.53706865587632,22.874294731793338,1909.0894939746402
 01/02  17:00:00,8.0,21.15241309528681,16.15627185055728,19.58261731643822,23.392852652390008,1952.3683574253444
 01/02  18:00:00,8.0,21.15147744616051,15.591217786396449,19.589144885856836,24.084480659225758,2010.0916567475972
 01/02  19:00:00,8.0,21.151287461183472,15.40261328420177,19.511595623393514,24.67921314509,2059.728052264996
 01/02  20:00:00,8.583333333333334,21.151889854601407,15.38762721411508,19.48163117625432,24.467586566798882,2042.0656901245002
 01/02  21:00:00,9.0,21.152348029699777,15.447483088164539,19.516138465365998,23.86669395473518,1991.9151702440624
 01/02  22:00:00,9.0,21.15273997908737,15.088674815502344,19.66442920590834,23.31837982928916,1946.1528528235413
 01/02  23:00:00,7.25,21.14973579460441,13.978785414913949,19.672446871580068,25.42958600036675,2122.354198835605
 01/02  24:00:00,6.0,21.148673284879422,13.17450240847721,19.605376720551263,28.03222759410561,2339.570763606113
 01/03  01:00:00,5.416666666666667,21.147612118784863,12.869345153909501,19.4656787581707,29.707755644702974,2479.410397385478
 01/03  02:00:00,4.416666666666667,21.146357269559186,12.825975923956861,19.386829281287095,31.84910446006508,2658.1274496170745
 01/03  03:00:00,3.4166666666666665,21.14479178865294,12.076425545604051,19.619612218443795,34.005208119740836,2838.075941707022
 01/03  04:00:00,3.0,21.14294611521852,10.697876908352612,19.66871352412976,36.721294114110385,3064.760580397784
 01/03  05:00:00,2.4166666666666665,21.14138928351451,9.835980035598663,19.627479430723522,39.53279100898674,3299.4082164138817
