Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 March,1312345478.174083,816022968.6023303,9777409.57175398,0.0,0.0,486545100.0000002,486545100.0000002,0.0,0.0,0.0
 October,605986603.4325435,83658327.56306008,1002375.869484391,0.0,0.0,521325899.999999,521325899.999999,0.0,0.0,0.0
 December,54579846049.939186,27725190726.27669,332197199.8534607,0.0,0.0,26522458123.80937,26522458123.80937,0.0,0.0,0.0
