Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,0.13330086054428292,2.6889794681245023e-8,0.0000010895729652683468,0.0,10.499999999999998,1283354413.6349928,2146996586.8488934,1283354413.634992,15376873.213898975,0.0,0.0,848265299.9999996,848265299.9999996,0.0,0.0,0.0
 June,0.11204766034968233,1.6789563788402686e-8,1.6161525818021843e-7,0.0,167.99999999999997,0.0,874398600.0000015,0.0,0.0,0.0,0.0,874398600.0000015,874398600.0000015,0.0,0.0,0.0
 December,0.11833527921567961,1.2230425337762723e-8,6.070294177804944e-7,0.16666666666666666,4026.166666666665,20836678532.009796,57881297049.44931,20836678532.009933,249660546.28508472,0.0,0.0,36794957971.15359,36794957971.15359,0.0,0.0,0.0
