Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.0,20.778172873636636,6.400260744701484,18.114288239187869,50.62172813017045,696.1926671845534,0.0,135.9292107568286,0.0
 01/01  02:00:00,7.0,20.51232973895812,8.52144689324173,17.04703182747799,47.133233695159827,647.2784250412078,0.0,140.34452015019424,0.0
 01/01  03:00:00,8.0,20.592508617268125,9.226762454795699,16.11795059894717,46.279445976897047,637.8627183750846,0.0,141.4251401719872,0.0
 01/01  04:00:00,8.0,20.4265840359952,9.995941285246916,15.697789555655959,45.892154395267237,631.8945718735989,0.0,141.9153264658737,0.0
 01/01  05:00:00,7.0,20.519369020697356,9.999621099066513,15.916435399552585,49.116791989640557,666.3460136026714,0.0,137.83397477508536,0.0
 01/01  06:00:00,7.0,20.463059400910585,9.712417979880057,14.479149546523694,47.940620939714097,651.726555750282,0.0,139.32262817032265,0.0
 01/01  07:00:00,7.0,20.756399837890244,9.982144678994438,16.654405546398889,45.789465251757558,619.7734311876134,0.0,142.0452978183817,0.0
 01/01  08:00:00,7.0,20.458819501047704,9.67365419918358,15.289838870599777,38.709449716088737,529.4268399754329,0.0,151.00631515184288,0.0
 01/01  09:00:00,6.0,20.6319078661552,9.633814308867514,16.795952411648913,44.513494132292148,597.3226215299872,0.0,143.66026592981047,0.0
 01/01  10:00:00,6.0,20.57352361919791,9.497041913177182,17.068540768733397,40.14214895592193,542.3600629073161,0.0,149.19297976336774,0.0
 01/01  11:00:00,7.0,20.625088826376304,9.564280315811623,17.158962452700977,36.3601093385254,496.2867408392665,0.0,153.97982272954293,0.0
 01/01  12:00:00,8.0,20.639445007320754,9.61490853769001,16.655326362301904,25.921864573248198,358.1023444846937,0.0,167.19127569900639,0.0
 01/01  13:00:00,8.0,20.569360958940405,9.921678877044402,17.214083156646305,23.23446327068407,320.66114683918149,0.0,170.5926594294403,0.0
 01/01  14:00:00,9.0,20.62931014071034,10.095234925660094,16.335987918265368,20.45862429508027,285.63037214161138,0.0,174.10597674491323,0.0
 01/01  15:00:00,9.0,20.567630928204264,10.362883685639764,16.57026631624145,16.219191342454005,226.19300406106633,0.0,179.4717322268243,0.0
 01/01  16:00:00,9.0,20.488459277012667,10.177442570037402,15.254798354799684,14.217684834181892,198.17911966491097,0.0,182.0049942547539,0.0
 01/01  17:00:00,7.0,20.062474686793054,9.581799256455869,14.416805157521538,16.37248684009641,222.12419041315935,0.0,179.27770954359787,0.0
 01/01  18:00:00,6.0,20.561755500802457,8.982898235978036,15.033697729468586,24.855845248212657,330.5439441586623,0.0,168.54051251936677,0.0
 01/01  19:00:00,6.4,20.501759761053017,8.638909354524431,13.835306369509249,25.371964071959057,342.25514362841826,0.0,167.8872724660905,0.0
 01/01  20:00:00,4.9,20.383209024429126,8.267966478149438,13.882321250800592,39.84408209761178,433.4171145782577,47.56925487296031,149.33332918209104,0.0
 01/01  21:00:00,2.9,20.430419047110829,7.278533065466467,13.910780452689292,50.27780547743456,550.6691016435192,50.878791589285679,135.88177559102582,0.0
 01/01  22:00:00,0.1,20.32788842463605,6.25199900828782,14.289200304635788,70.77709104818956,781.5420756126778,55.67866047056335,109.510933634763,0.0
 01/01  23:00:00,-2.1,20.340600956169589,5.3679319674562289,14.585476814344434,102.49696298762575,1135.010820471713,63.01192440066584,68.87541199250582,0.0
