Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,1457247259.1889255,873964309.0885751,10471650.100351827,0.0,0.0,572811299.9999994,572811299.9999994,0.0,0.0,0.0
 August,552983399.9999992,0.0,0.0,0.0,0.0,552983399.9999992,552983399.9999992,0.0,0.0,0.0
 December,53318663123.231285,21158433229.14489,253515741.02416563,0.0,0.0,31906714153.062675,31906714153.062675,0.0,0.0,0.0
