Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,198735488.49404336,0.0,10107413.455689058,968835.1622173733,0.0,25557235.301805688,60536245.81946747,43200000.0,58365758.754863839,58365758.754863839,17116058.285883815,17116058.285883815,17116058.285883815
 December,472473385.16326978,258181726.63556568,0.0,16383318.6215837,0.0,35806335.33178893,60536245.81946747,43200000.0,58365758.754863839,58365758.754863839,17116058.285883815,17116058.285883815,17116058.285883815
 December,82732773587.62104,10849514472.839213,728669759.8364192,664099282.1030779,0.0,11323258403.204432,22095729724.107828,15768000000.0,21303501945.526597,21303501945.526597,6247361274.347478,6247361274.347478,6247361274.347478
