Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.39596085296995964,0.48266649905609316,0.0,0.0,1051771935.837172,50345285.8005111,31265214.051880304,253957464.1578058,1737037279.9666078,1387339899.8473737,0.0,99655780.11923984,0.0,0.0,250041600.00000054,250041600.00000054,0.0,0.0,0.0
 July,0.16533756614441128,0.6772119083081027,0.0,0.5,719331.512469813,0.0,1180308.4737866046,0.0,851342745.7480108,1899639.9862564176,474118292.5109989,46093113.25075528,0.0,0.0,329231699.99999994,329231699.99999994,0.0,0.0,0.0
 December,0.2641256480509645,0.5470473576556113,0.0,59.666666666666664,14192999401.523466,959791879.5867667,2403104805.353393,574692684.4326512,48159119984.199905,18130588770.896526,9334630902.450243,2342637300.561351,0.0,0.0,18351263010.29188,18351263010.29188,0.0,0.0,0.0
