Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.6763516625210416,0.3977921444363428,0.6061232103041658,0.0,0.0,1422694072.7799125,1721560577.9183524,1422694072.779913,0.0,14074105.138441797,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,0.20442881201058094,0.495995511022254,0.4416697632072116,0.0,0.0,0.0,763122655.1950692,0.0,343990589.3681469,23550565.826923627,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,0.37706859859896424,0.5350823787463076,0.5531977776716647,0.6666666666666666,12.999999999999998,14531119324.302992,36861797886.78108,14531119324.302973,4467223010.447374,493298380.6020604,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
