Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,1721560577.9183524,1422694072.779913,0.0,14074105.138441797,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,763122655.1950692,0.0,343990589.3681469,23550565.826923627,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,36861797886.78108,14531119324.302973,4467223010.447374,493298380.6020604,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
