Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,195345041.06315223,0.0,10178858.605865581,972677.2518579376,0.0,25557259.385961139,60536245.81946747,43200000.0,54900000.0,54900000.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,469787297.30586698,258961398.1476624,0.0,16383318.6215837,0.0,35806334.71715335,60536245.81946747,43200000.0,54900000.0,54900000.0,16099706.744868029,16099706.744868029,16099706.744868029
 December,81562650504.43518,10950958736.595023,716938647.9105529,668725409.0342112,0.0,11323797986.799162,22095729724.107828,15768000000.0,20038500000.0,20038500000.0,5876392961.87614,5876392961.87614,5876392961.87614
