Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.47022711129706996,0.4831869355330831,0.604794093603776,0.0,0.0,1204090908.0813599,1500794865.4293625,1204090908.0813596,0.0,11911557.348000912,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,0.1399367976045177,0.5346153044514692,0.4416181688243964,0.0,0.0,0.0,730786650.417422,0.0,313655916.60796684,21549233.809454933,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,0.2641070229543681,0.5862671047324948,0.5525748975235506,0.0,13.333333333333332,12443004795.849823,34458667635.84452,12443004795.84982,4192960407.0754824,452545261.490992,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
