Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,1500794865.4293625,1204090908.0813596,0.0,11911557.348000912,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,730786650.417422,0.0,313655916.60796684,21549233.809454933,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,34458667635.84452,12443004795.84982,4192960407.0754824,452545261.490992,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
