report_fieldname,mapping_fieldname,conversion_ID
Electric Water Heater [W],WATER HEATER:Water Heater Electricity Rate [W],Elec
Gas Water Heater [Btu/h],WATER HEATER:Water Heater NaturalGas Rate [W],Gas
Mains Water Temp[F],Environment:Site Mains Water Temperature [C],Temp
