report_fieldname,mapping_fieldname,conversion_ID
Interior Lighting [W],INTERIOR LIGHTS:Lights Electricity Rate [W],Elec
Exterior Lighting [W],EXTERIOR LIGHTS:Lights Electricity Rate [W],Elec
