Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,0.2862290550509366,2.661463125247397,3.034941642170958,0.0,0.0,402860140.2687488,13333217.670207174,85070796.77993314,0.0,851779466.8839668,501264154.7188891,359407.0317374892,24078052.88512863,0.0,0.0,326077852.2482116,326077852.2482116,0.0,0.0,0.0
 September,0.0858422775121055,2.894011745439567,3.7394404004077435,0.0,52.0,0.0,0.0,0.0,0.0,922640247.8360838,0.0,510501347.2776181,86061048.31025422,0.0,0.0,326077852.2482116,326077852.2482116,0.0,0.0,0.0
 December,0.17469644544974677,2.6522965748823375,3.082589779420677,3.0,553.0,5376068440.854496,180770060.03151777,1427594519.6689732,703671.9329377167,35500501287.040405,6985136692.487931,9464448020.395508,2048285706.9295795,0.0,0.0,17002630867.230528,17002630867.230528,0.0,0.0,0.0
