Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,11.033333333333333,8.822222222,0.0,575.8357396705065,0.0,18.91851846949512,10.205426810498258,25.49942613186313,0.0,345.2346415063511,0.0,28.201719885159168,0.0
 01/01  02:00:00,11.908333333333331,8.822222222,0.0,532.8807355652908,0.0,18.911487309516467,11.50676935153929,32.774378984883505,0.0,450.5066459056957,0.0,0.0,0.0
 01/01  03:00:00,11.35,8.827777778,0.0,525.524609417935,0.0,18.943760645192903,11.54755869991002,35.419181361492335,0.0,483.47947248872305,0.0,0.0,0.0
 01/01  04:00:00,11.450000000000001,8.827777778,0.0,518.4121803245715,0.0,18.92988667143389,11.06128444606653,34.9794550998837,0.0,477.1733731878672,0.0,0.0,0.0
 01/01  05:00:00,11.700000000000001,8.833333333,0.0,718.436060380829,0.0,18.912114751349907,11.202375885719823,38.245677056294795,0.0,523.5007861370974,0.0,0.0,0.0
 01/01  06:00:00,11.700000000000001,8.833333333,0.0,1050.3965431851182,0.0,18.93105126134026,11.461266858122947,38.71868432755054,0.0,530.4097882924526,0.0,0.0,0.0
 01/01  07:00:00,11.991666666666665,8.838888889000001,0.0,1843.4942385732504,0.0,18.935799256293222,11.646557671777453,32.37949565376579,0.0,445.5712720700246,0.0,0.0,0.0
 01/01  08:00:00,12.200000000000001,8.844444444000002,0.0,1506.283148866204,0.0,18.933939138940104,11.695744398727706,27.044915834671546,0.0,373.365619455182,0.0,0.0,0.0
 01/01  09:00:00,11.558333333333332,8.85,0.0,1054.714514407615,0.0,18.913747524249235,12.527269511567853,24.919297593740797,0.0,341.4310625787612,0.0,0.0,0.0
 01/01  10:00:00,11.741666666666667,8.85,0.0,1138.006381017075,0.0,18.93552207587486,13.593132506988566,25.248844875055656,0.0,347.84935326042563,0.0,0.0,0.0
 01/01  11:00:00,12.841666666666669,8.855555556,0.0,1169.2118279465228,0.0,18.939536043225953,14.699270825436727,10.322240967193379,0.0,144.52494479866692,0.0,0.0,0.0
 01/01  12:00:00,13.65,8.861111111,0.0,1363.8142276544697,0.0,18.925639100318403,18.121696313217694,3.0654146356769334,0.0,43.85588347444892,0.0,0.0,0.0
 01/01  13:00:00,14.891666666666666,8.861111111,0.0,1511.1590516010085,0.0,18.921914425237453,19.322361317356137,0.3898186392123038,0.0,5.6957675932697605,0.0,0.0,0.0
 01/01  14:00:00,15.599999999999996,8.861111111,0.0,1744.6553576285005,0.0,19.246659587946215,18.903000736131485,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.599999999999996,8.861111111,0.0,1940.7073025224747,0.0,19.61063324503371,18.235882178734332,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.25,8.861111111,0.0,2240.211063721608,0.0,19.58993219847478,16.241569183908346,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,14.008333333333333,8.861111111,0.0,2535.3611027180596,0.0,19.27834572484004,13.923385876764115,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,11.375,8.861111111,0.0,1647.0418837652487,0.0,18.92667330198712,12.098481184651574,5.197227746028645,0.0,70.38546390047794,0.0,0.0,0.0
 01/01  19:00:00,10.350000000000001,8.861111111,0.0,1411.7744156245574,0.0,18.912362579081048,10.895798578456569,16.95282331900889,0.0,227.76441921914807,0.0,0.0,0.0
 01/01  20:00:00,10.25,8.861111111,0.0,1302.1605989109946,0.0,18.926655815900848,10.547490945055754,25.00339389634118,0.0,335.0473404931933,0.0,0.0,0.0
 01/01  21:00:00,10.0,8.861111111,0.0,1150.0304806466972,0.0,18.907227670866835,10.407813290720346,34.21681425527962,0.0,456.7111246932789,0.0,0.0,0.0
 01/01  22:00:00,10.0,8.866666667000002,0.0,1010.9936559627785,0.0,18.91884786594005,10.692088316319802,42.80861609050056,0.0,571.917224413533,0.0,0.0,0.0
 01/01  23:00:00,10.0,8.866666667000002,0.0,691.0727673219843,0.0,18.91755807039283,10.966157727163043,48.855450542718216,0.0,653.3395137362585,0.0,0.0,0.0
 01/01  24:00:00,9.65,8.866666667000002,0.0,624.322112566696,0.0,18.946046481509093,10.886046264987057,47.94625012210921,0.0,638.4798709654666,0.0,134.27671848788526,0.0
 01/02  01:00:00,9.4,8.866666667000002,0.0,367.1697834468257,0.0,18.892658813632004,10.611061572992101,54.94561852381846,0.0,728.1452328976787,0.0,124.68219422997231,0.0
 01/02  02:00:00,9.4,8.866666667000002,0.0,339.7804109770063,0.0,18.929751856910702,11.166481756834708,62.72896615157283,0.0,832.9923048571682,0.0,114.01301476457625,0.0
 01/02  03:00:00,9.4,8.872222222,0.0,335.0899288508401,0.0,18.926361489036882,11.387885615700093,61.278272775619136,0.0,814.0836999205143,0.0,116.00158173055884,0.0
 01/02  04:00:00,9.108333333333333,8.872222222,0.0,330.5548351251789,0.0,18.930598916147655,11.614721033867868,59.80007260254618,0.0,791.962724155284,0.0,118.02785418896183,0.0
 01/02  05:00:00,8.9,8.872222222,0.0,458.09593697911004,0.0,18.915987533664733,11.525711437760792,61.439590300856054,0.0,811.2512890899706,0.0,115.78045250570847,0.0
 01/02  06:00:00,8.9,8.872222222,0.0,669.7636925336675,0.0,18.93225921732997,11.596058280816521,61.103903187269566,0.0,807.1249134647352,0.0,116.24060233202533,0.0
 01/02  07:00:00,8.549999999999999,8.872222222,0.0,1175.466081264285,0.0,18.926201606872947,11.481092831168565,57.9329398915043,0.0,761.6868060062907,0.0,120.5872637043203,0.0
 01/02  08:00:00,7.366666666666668,8.872222222,0.0,960.4503845059515,0.0,18.957399449114344,10.933737177709949,49.06105921829146,0.0,635.7417347969089,0.0,132.74857161771183,0.0
 01/02  09:00:00,6.991666666666667,8.872222222,0.0,672.5169578304711,0.0,18.909870827789145,10.201418082735662,48.174756374388956,0.0,619.2486204930227,0.0,133.96348897134095,0.0
 01/02  10:00:00,6.908333333333334,8.877777778,0.0,725.6262987744291,0.0,18.93819137445318,10.537589681003622,49.026905785742876,0.0,630.2345791877877,0.0,132.79538811861187,0.0
