Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/01  01:00:00,-1.1,8.822222222,0.0,449.71410205278596,0.0,18.61443298031796,0.36206141375570167,4.014913562591906,0.0,68.83098543421079,1.2777015073807303,195.73770782674472,0.0
 01/01  02:00:00,-1.1,8.822222222,0.0,449.71410205278596,0.0,18.550189877446194,1.1998127293367808,22.303128849605507,0.0,381.74607173840826,7.149662407575232,176.32212049748526,0.0
 01/01  03:00:00,-1.1,8.827777778,0.0,449.71410205278596,0.0,18.606529542373238,1.6156519002333711,27.908654154497142,0.0,480.83293581968337,6.606560267107,170.3967224095847,0.0
 01/01  04:00:00,-1.7,8.827777778,0.0,449.71410205278596,0.0,18.60016749880036,2.156734937011413,34.44191660934899,0.0,584.6684057430359,12.958778615845581,163.40127401182417,0.0
 01/01  05:00:00,-2.2,8.833333333,0.0,449.71410205278596,0.0,18.632858474572025,2.34452548396387,32.901661791545266,0.0,552.3273268239952,15.785988608948742,164.98315799634597,0.0
 01/01  06:00:00,-2.8,8.833333333,0.0,449.71410205278596,0.0,19.525887717122004,3.0291219519063204,76.2036024508726,0.0,1292.186025424683,28.814349239930173,118.96837910171965,0.0
 01/01  07:00:00,-2.8,8.838888889,0.0,449.71410205278596,0.0,19.672398152605226,2.6446591189222275,78.5538633352277,0.0,1356.3119336428908,23.8930187557323,116.54929809714855,0.0
 01/01  08:00:00,-2.8,8.844444444,0.0,449.71410205278596,0.0,19.731310444525484,3.3079418057573102,75.5269516254605,0.0,1306.9903431415541,23.10743190540991,119.76281212290365,0.0
 01/01  09:00:00,-3.3,8.85,0.0,449.71410205278596,0.0,19.704603456149044,2.638000124433913,83.82759560558779,0.0,1432.4296700186437,35.67318308531354,110.771661976883,0.0
 01/01  10:00:00,-3.3,8.85,0.0,449.71410205278596,0.0,19.72963217641297,3.6749977058363914,79.7347801045611,0.0,1339.0042479433316,53.600837802832416,114.82554012422587,0.0
 01/01  11:00:00,-3.0,8.855555556,0.0,449.71410205278596,0.0,19.74984080881005,3.898015566730196,69.62640781389132,0.0,1186.1879151384057,35.477644431881615,125.81786876563234,0.0
 01/01  12:00:00,-2.8,8.861111111,0.0,449.71410205278596,0.0,19.52064503011933,3.9911460418329003,70.78875190553275,0.0,1204.9113150670198,38.49258424784472,124.55731417824371,0.0
 01/01  13:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.64683646164115,3.990236510938904,79.39823224780652,0.0,1336.2454064797614,46.32922065843992,115.29544582746195,0.0
 01/01  14:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.695330789858073,3.8559580130599174,78.64241957751442,0.0,1333.4372235967492,40.598066105497914,116.18263626209844,0.0
 01/01  15:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.746434070518326,4.32662410609114,69.8186871513631,0.0,1193.9614870382131,29.525537809921993,125.68586311740366,0.0
 01/01  16:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.567338650134566,4.039352144125397,71.51164150958982,0.0,1215.0323796543364,36.6696949050363,123.7861589415703,0.0
 01/01  17:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.720775279093957,4.557940349738043,74.76402596558552,0.0,1268.4813028239687,38.33734387383853,120.32013791852404,0.0
 01/01  18:00:00,-3.3,8.861111111,0.0,449.71410205278596,0.0,19.675378604784388,4.394879196692937,75.59981758451133,0.0,1284.411574524357,38.76979816134899,119.4291192911809,0.0
 01/01  19:00:00,-2.8,8.861111111,0.0,449.71410205278596,0.0,19.670370251365597,4.2576674917524855,77.63782171409709,0.0,1326.6518147375632,36.48139608379599,117.34059996140456,0.0
 01/01  20:00:00,-2.8,8.861111111,0.0,449.71410205278596,0.0,19.688526410989052,4.356067650908795,79.60029963633707,0.0,1360.0341281827882,37.40354196964636,115.25120553424593,0.0
 01/01  21:00:00,-2.2,8.861111111,0.0,449.71410205278596,0.0,19.726517753133294,5.2085907503720215,76.15361887234653,0.0,1315.008258098163,30.635125343442198,119.02561110081037,0.0
 01/01  22:00:00,-2.8,8.866666667,0.0,449.71410205278596,0.0,19.71012074364033,4.7128509983122,83.1492977240761,0.0,1421.9110202839086,39.08955816130908,111.47226871183824,0.0
 01/01  23:00:00,-2.8,8.866666667,0.0,449.71410205278596,0.0,18.626733045032335,3.2306353644721955,61.65665534137154,0.0,1033.5661304123685,28.990307369421522,134.3571989642397,0.0
 01/01  24:00:00,-2.2,8.866666667,0.0,449.71410205278596,0.0,18.62079625797571,4.14516362105144,55.75709778120269,0.0,941.2962751931325,22.44873209571002,140.71474342004194,0.0
 01/02  01:00:00,-2.2,8.866666667,0.0,449.71410205278596,0.0,18.60608526727735,4.568864646265364,58.38319374137668,0.0,980.0162542598692,27.871406807471562,137.86534327169483,0.0
 01/02  02:00:00,-2.2,8.866666667,0.0,449.71410205278596,0.0,18.59847313069827,4.7971273307955515,60.534036455750034,0.0,1015.6823302825293,29.04378779443777,135.57440375897934,0.0
