Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.5324897647890093,5.242896600681926,0.0,0.0,2622622449.8476624,3012376641.1294885,2622622449.8476634,31423691.281824354,0.0,0.0,358330500.00000083,358330500.00000083,0.0,0.0,0.0
 August,0.3048684173110009,3.137329965618967,0.0,111.49999999999999,0.0,416481299.99999994,0.0,0.0,0.0,0.0,416481299.99999994,416481299.99999994,0.0,0.0,0.0
 December,0.4120268035572975,4.4893360910662645,0.0,1728.9999999999995,35220199610.3604,58469941390.32837,35220199610.360565,422000798.7429991,0.0,0.0,22827740981.225624,22827740981.225624,0.0,0.0,0.0
