Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,3012376641.1294885,2622622449.8476634,31423691.281824354,0.0,0.0,358330500.00000083,358330500.00000083,0.0,0.0,0.0
 August,416481299.99999994,0.0,0.0,0.0,0.0,416481299.99999994,416481299.99999994,0.0,0.0,0.0
 December,58469941390.32837,35220199610.360565,422000798.7429991,0.0,0.0,22827740981.225624,22827740981.225624,0.0,0.0,0.0
