Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,2719420943.785664,2248362996.861055,0.0,23891146.924610563,0.0,0.0,447166800.0000001,447166800.0000001,0.0,0.0,0.0
 August,867139764.2140307,0.0,316770517.70740384,24021346.506625548,0.0,0.0,526347900.0000006,526347900.0000006,0.0,0.0,0.0
 December,63160383626.430885,36366742967.14802,2886462594.921183,627976709.5828806,0.0,0.0,23279201354.779305,23279201354.779305,0.0,0.0,0.0
