Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),WaterSystems:NaturalGas [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 August,184374894.24750439,0.0,19730489.9811695,1825279.6918795536,0.0,717120.0,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,99070587.49712634,99070587.49712634,0.0,0.0
 December,255559603.91619463,86509211.00846605,0.0,6231268.333273273,0.0,717120.0,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,99583630.79276726,99583630.79276726,0.0,0.0
 December,68703956706.3704,7448682691.881339,1300250546.6256226,526042998.18384686,0.0,261748800.00000004,22095729724.14978,15768000000.0,21303501945.526597,21303501945.526597,29845466963.23454,29845466963.23454,0.0,0.0
