Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,2712935280.117291,2201966595.708221,26383484.409066994,0.0,0.0,484585199.9999998,484585199.9999998,0.0,0.0,0.0
 July,1165039200.000003,0.0,0.0,0.0,0.0,1165039200.000003,1165039200.000003,0.0,0.0,0.0
 December,70189422255.51154,34679655028.29151,415524077.21991724,0.0,0.0,35094243149.99973,35094243149.99973,0.0,0.0,0.0
