Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),DX_HEATING_COIL:Heating Coil Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J](RunPeriod),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J](RunPeriod),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),WaterSystems:NaturalGas [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 August,0.2817165527666717,4.541927615285544,0.0,0.0,0.0,0.0,0.0,0.0,182795576.95450176,0.0,18286527.21542858,1689925.1646178093,0.0,717120.0000000001,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,76591409.42427407,76591409.42427407,0.0,0.0
 December,0.4558945025216367,4.071201200774809,0.0,0.0,72439564.34568453,6024319.667914657,11993376.985732384,0.0,259861141.03015,90457260.99933154,0.0,6584755.456363123,0.0,717120.0000000001,60536245.81959151,43200000.0,58365758.754863839,58365758.754863839,77091617.22177074,77091617.22177074,0.0,0.0
 December,0.3590976602899589,4.797498362522622,0.5,5.5,5352531443.584284,238237952.19736967,2337229878.380962,0.0,69050454654.85865,7927999274.162623,1145504937.8666895,547969973.1494219,0.0,261748800.0,22095729724.14978,15768000000.0,21303501945.526597,21303501945.526597,21319068824.885213,21319068824.885213,0.0,0.0
