Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.44353035912042105,5.029083015779524,0.0,0.0,2704322437.580249,2919864240.3300123,2704322437.580252,32402602.74976621,0.0,0.0,183139200.0000003,183139200.0000003,0.0,0.0,0.0
 July,0.1813181140970738,4.08474780451322,0.0,96.16666666666664,0.0,263954700.00000027,0.0,0.0,0.0,0.0,263954700.00000027,263954700.00000027,0.0,0.0,0.0
 December,0.2753564847691467,4.066637820235264,0.0,2946.5000000000005,32252904296.493057,46887867941.26716,32252904296.493053,386447278.2249284,0.0,0.0,14248516366.549866,14248516366.549866,0.0,0.0,0.0
