Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.753301905273269,17.96487366530971,2.24490447279974,0.0,0.0,0.0,0.30005728041570359,0.34648652440286767,0.8582002013871319,5728.984145989911 
 12/21  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.682985917349415,17.95375611602254,2.2396701797659608,0.0,0.0,0.0,0.2998761576152356,0.3463738347783604,0.8582233199866044,5728.984145989911 
 12/21  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.614556192661562,17.94249954698804,2.234395177868448,0.0,0.0,0.0,0.2997011030740473,0.346269021396418,0.8582440121139923,5728.984145989911 
 12/21  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.54797561325429,17.93114515158585,2.2291060622963334,0.0,0.0,0.0,0.2995299762026646,0.34616263673923156,0.8582644873458141,5728.984145989911 
 07/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.291684102616498,34.48733780698123,23.3619694835102,0.0,0.0,0.0,0.5857961824773683,0.39452616300229917,3.7079575430269484,233.4868031889224 
 07/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.10014731096682,33.5451765456052,22.46496179842509,0.0,0.0,0.0,0.5861084878503791,0.391202830863625,3.709049376157705,233.4868031889224 
 07/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.92126731466295,32.646160433740529,21.755007111284713,0.0,0.0,0.0,0.5860916787425443,0.38674937854440336,3.712485188160654,233.4868031889224 
 07/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.741676910066418,31.772045028180039,21.116833658284148,0.0,0.0,0.0,0.5861151404095631,0.38277284619176107,3.7178428930766258,233.4868031889224 
 07/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.573371793070398,30.930108917000056,20.578670190770816,0.0,0.0,0.0,0.5858078899700806,0.3775724654510097,3.7232516899476786,233.4868031889224 
 07/21  06:00:00,0.0,0.0,0.0,1563.2540008299166,5627714.4029877,4924791.816184678,0.0,0.0,0.0,20.470532672381006,30.704297890831016,21.09260209572281,0.0,0.0,0.0,0.5841674263709638,0.3673897598534073,3.736606154818201,233.4868031889224 
