Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,12.312617861719147,50.53060595533439,578.5138271095796,52.25732969663025,151.78561719332683,0.0
 01/01  02:00:00,2.0,12.499476919489826,58.44539629918583,671.1212982980529,64.33106502780154,144.30919723755343,0.0
 01/01  03:00:00,4.0,12.155699337928395,56.95053744573872,671.9329500856629,59.327589995889696,145.97537988115945,0.0
 01/01  04:00:00,3.0,12.316686774645287,64.86618887355874,758.1933144251066,63.53911831488855,138.3814428503307,0.0
 01/01  05:00:00,3.0,12.372634908818348,68.01350468236939,797.4203206167977,66.62236929722437,135.39138755997712,0.0
 01/01  06:00:00,2.0,12.358078719099456,69.01711556992052,824.5897927441495,52.11003694724052,134.46081787435946,0.0
 01/01  07:00:00,3.0,12.187033816721526,57.5104292360856,688.4576555856288,46.31948182663444,145.44265952032683,0.0
 01/01  08:00:00,4.0,11.901790351239397,61.73392244658285,722.3380424179812,64.30994644356329,141.43836911768716,0.0
 01/01  09:00:00,4.0,12.460027808267037,70.53782026700138,819.7903704500753,73.48057898916886,133.0874494265259,0.0
 01/01  10:00:00,3.0,12.433387537845485,24.91376099604033,303.9700452938932,16.197278874613406,176.39294713773842,0.0
 01/01  11:00:00,5.0,12.86675126232834,26.548476637721926,334.52044932879693,14.813803951136594,174.90785851003315,0.0
 01/01  12:00:00,7.0,13.150158478715001,30.446255016602894,443.18317523993545,0.0,171.2781534438958,0.0
 01/01  13:00:00,7.0,13.45706727429618,20.98032996920915,306.60712034187304,0.0,180.20794945902367,0.0
 01/01  14:00:00,9.0,15.157408825277688,0.0,0.0,0.0,200.0,0.0
 01/01  15:00:00,10.0,14.85423514292618,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,10.0,14.323045740133674,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,9.0,13.534035239047665,0.0,0.0,0.0,200.0,0.0
 01/01  18:00:00,8.0,13.2559542049222,0.0,0.0,0.0,200.0,0.0
 01/01  19:00:00,5.0,12.955311950088303,34.80058237332009,461.18706042462367,8.238536582334284,167.1450848114314,0.0
 01/01  20:00:00,4.0,12.625042620034149,51.29346165047963,656.1983014468843,19.21086328247971,151.52247536145816,0.0
 01/01  21:00:00,5.0,13.45854427653314,78.14241235310779,982.2268925477395,43.60269568858224,126.144222431273,0.0
 01/01  22:00:00,4.0,13.540077827758592,55.942376013822205,708.3086324450621,29.238367997089608,147.0875940939166,0.0
 01/01  23:00:00,3.0,12.687820604062233,41.14072121586624,509.22392562423227,26.747366593195473,161.01650765046017,0.0
 01/01  24:00:00,3.0,12.208232517005019,39.530889438466495,481.7223608606218,25.70033661111881,162.54252275007036,0.0
