Time,LIVING:PASCO-TRI.CITIES.AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:PASCO-TRI.CITIES.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:PASCO-TRI.CITIES.AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:PASCO-TRI.CITIES.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:45:00,5.452522E+03,3.383355E+03,1.815794E-01,2.447673E-01
20:00:00,5.453890E+03,3.013975E+03,1.816250E-01,2.180447E-01
20:15:00,5.455245E+03,2.688374E+03,1.816701E-01,1.944892E-01
20:30:00,5.456589E+03,2.424595E+03,1.817148E-01,1.754063E-01
20:45:00,5.457920E+03,2.216431E+03,1.817592E-01,1.603468E-01
21:00:00,5.459240E+03,2.033678E+03,1.818031E-01,1.471256E-01
21:15:00,5.460548E+03,1.865513E+03,1.818467E-01,1.349597E-01
21:30:00,5.461844E+03,1.708348E+03,1.818899E-01,1.235898E-01
21:45:00,5.463130E+03,1.559890E+03,1.819327E-01,1.128496E-01
22:00:00,5.464405E+03,1.419007E+03,1.819751E-01,1.026575E-01
22:15:00,5.465669E+03,1.285251E+03,1.820172E-01,9.298102E-02
22:30:00,5.466922E+03,1.157717E+03,1.820590E-01,8.375461E-02
22:45:00,5.468166E+03,1.035754E+03,1.821004E-01,7.493124E-02
23:00:00,5.469399E+03,9.187885E+02,1.821415E-01,6.646940E-02
23:15:00,5.470623E+03,8.059824E+02,1.821822E-01,5.830849E-02
23:30:00,5.471836E+03,6.976109E+02,1.822226E-01,5.046840E-02
23:45:00,5.473041E+03,5.936368E+02,1.822627E-01,4.294642E-02
24:00:00,5.474236E+03,4.940565E+02,1.823026E-01,3.574232E-02
Peak,5.474236E+03,5.254353E+03,1.823026E-01,3.801243E-01

Peak Vol Flow (m3/s),,,1.536203E-01,3.203181E-01
