Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.3666666666666665,4.083333333333333,0.0,0.0,0.0,24.13569867900488,5.006814084821468,13.903061545373282,42.377323669433494,3536.8130186602525
 01/01  02:00:00,0.9916666666666667,1.5,0.0,0.0,0.0,23.962234657130725,5.268508202568118,16.350471849251704,42.711701312197306,3564.720189233391
 01/01  03:00:00,1.375,1.8499999999999999,0.0,0.0,0.0,23.86981444727172,4.329296364768477,15.616160074363696,0.0,0.0
 01/01  04:00:00,1.5,2.391666666666667,0.0,0.0,0.0,24.279743978740186,5.698065198405595,15.0232045277408,42.73388746565277,3566.571846430703
 01/01  05:00:00,1.3833333333333337,2.891666666666667,0.0,0.0,0.0,23.9348996630514,5.102292268563333,14.130268729339678,40.411548724491134,3372.749368221583
 01/01  06:00:00,1.1833333333333333,3.1,0.0,0.0,0.0,23.814188418490108,4.620118475355234,13.538099750032009,34.63343611589358,2890.5078737660665
 01/01  07:00:00,1.3333333333333333,3.391666666666667,0.0,0.0,0.0,24.68774419248977,4.926709137143457,13.00558641889935,18.072272855898444,1508.312568583131
 01/01  08:00:00,1.5583333333333333,3.891666666666667,3.440540441727156,0.0,0.0,24.240397525246763,5.13388520202599,12.9874059999418,52.94727278766576,4418.981367458201
 01/01  09:00:00,1.6583333333333332,3.8083333333333336,11.989596992454855,0.0,0.0,24.315906607906186,4.480038552948176,12.232043978495682,0.0,0.0
 01/01  10:00:00,1.875,3.3083333333333336,14.069406892642036,0.0,0.0,24.15133817018419,7.051063395609692,13.071474945846626,43.9156404620559,3665.200995716363
 01/01  11:00:00,2.2916666666666665,2.8083333333333336,5.041229024064758,0.0,0.0,23.881615875708672,6.73706777239182,12.930678719964428,0.0,0.0
 01/01  12:00:00,2.5583333333333336,2.891666666666667,6.560606494873987,0.0,0.0,24.584908988962002,8.555885584978503,13.356114628533822,45.40088486280257,3789.159548961246
 01/01  13:00:00,2.6583333333333337,3.391666666666667,6.603466247838424,0.0,0.0,24.220813559283126,7.1105475833200105,12.22668287857359,0.0,0.0
 01/01  14:00:00,2.875,3.6,3.7144046440144645,0.0,0.0,23.56059945715046,6.733482178251479,12.098412388681083,14.496886498548838,1209.9106894541883
 01/01  15:00:00,3.0583333333333336,2.3749999999999996,15.218264645354223,0.0,0.0,24.425293370910484,7.4556943051486755,13.207019416330157,25.161742856149264,2100.0
 01/01  16:00:00,2.983333333333333,1.8499999999999999,2.3776470427136744,0.0,0.0,23.86815273730373,5.81281126747535,13.530176269589196,0.0,0.0
 01/01  17:00:00,2.9583333333333335,3.5583333333333336,0.0,0.0,0.0,23.51378393527713,4.650622233096116,11.946780911950155,8.665766622274978,723.2452064555627
 01/01  18:00:00,2.7083333333333335,1.9166666666666663,0.0,0.0,0.0,24.297450599989475,5.351269179112067,13.611713774914527,26.096400926285593,2178.00659749635
 01/01  19:00:00,2.3250000000000006,1.5166666666666668,0.0,0.0,0.0,23.84170742824966,3.789204288768771,13.789889707970163,0.0,0.0
 01/01  20:00:00,2.6083333333333334,2.891666666666667,0.0,0.0,0.0,23.68768808355472,4.009551274129724,12.931403646139374,35.85844812170874,2992.747421595446
 01/01  21:00:00,2.9583333333333335,3.1,0.0,0.0,0.0,24.104181500627018,4.124293531062755,12.01022178633474,0.0,0.0
 01/01  22:00:00,2.7083333333333335,4.616666666666666,0.0,0.0,0.0,23.865966642144738,4.520080635307615,10.993294312532614,31.848267741122356,2658.0576170228146
 01/01  23:00:00,2.3833333333333333,5.7,0.0,0.0,0.0,24.256089278137974,5.58193985476115,10.742926710637803,55.87146992787168,4663.034970165285
 01/01  24:00:00,2.3000000000000003,6.866666666666667,0.0,0.0,0.0,24.321846224161416,4.545144008892785,9.501858071036345,0.0,0.0
 01/02  01:00:00,2.183333333333333,8.925000000000002,0.0,0.0,0.0,24.229058631255004,5.31148947676819,8.47143385880486,49.05486231766923,4094.120644028821
 01/02  02:00:00,2.1583333333333337,8.866666666666667,0.0,0.0,0.0,24.01753021083232,5.219361402622354,8.304352704120822,49.704729547447954,4148.358587335749
 01/02  03:00:00,2.375,9.424999999999999,0.0,0.0,0.0,23.97559129578148,4.918462809300848,7.913958714727801,33.12538014229349,2764.645465797525
 01/02  04:00:00,2.3833333333333333,9.716666666666669,0.0,0.0,0.0,24.40982561489163,5.04471064985398,7.650919305513103,21.654672307278503,1807.2997608021933
 01/02  05:00:00,2.3000000000000003,9.299999999999999,0.0,0.0,0.0,24.5880109284721,5.639754692693736,7.993652038868658,63.31581209048716,5284.340045527818
 01/02  06:00:00,2.125,9.591666666666667,0.0,0.0,0.0,24.261054555156765,5.3071716367093416,7.633066182109019,57.15615465240654,4770.254805331189
 01/02  07:00:00,1.825,7.991666666666668,0.0,0.0,0.0,24.094224106100153,4.621745270734017,7.831890253247273,32.03915964036624,2673.989462074406
 01/02  08:00:00,1.5833333333333333,6.700000000000002,4.731013085734298,0.0,0.0,24.56536314888322,4.638332168052731,8.439724339560888,21.567208162413653,1800.0
 01/02  09:00:00,1.675,7.575,7.308876913733672,0.0,0.0,24.514063554071708,5.452062151895768,8.545029355009396,49.81454118338187,4157.523470578518
 01/02  10:00:00,2.2083333333333335,8.200000000000001,4.187510463826926,0.0,0.0,24.1908089745492,5.622618415854408,8.36810579031614,48.950939732796826,4085.447261207935
