Category,Intercept,coeff_footprint,coeff_height,coeff_ACH50
Crawlspace_Low,-0.57831567,0.59833321,-0.033955416,-0.003351382
Crawlspace_Med,-0.683820631,0.615233301,-0.037810877,-0.013036793
Crawlspace_High,-0.833135093,0.638219665,-0.040500156,-0.021496756
Unheated Basement_Low,-0.081947613,0.5315718,-0.010614705,-0.001173804
Unheated Basement_Med,-0.105903565,0.535528403,-0.011351889,-0.004026906
Unheated Basement_High,-0.13830127,0.54041056,-0.011300926,-0.006040371
