Time,LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:BOISE AP-GOWEN FIELD ANGB ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:BOISE AP-GOWEN FIELD ANGB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:30:00,5.233709E+03,4.380698E+03,1.742924E-01,3.169168E-01
19:45:00,5.235160E+03,4.147026E+03,1.743407E-01,3.000121E-01
20:00:00,5.236597E+03,3.847866E+03,1.743886E-01,2.783697E-01
20:15:00,5.238020E+03,3.466680E+03,1.744360E-01,2.507932E-01
20:30:00,5.239430E+03,3.073236E+03,1.744829E-01,2.223300E-01
20:45:00,5.240828E+03,2.704421E+03,1.745295E-01,1.956484E-01
21:00:00,5.242213E+03,2.391962E+03,1.745756E-01,1.730439E-01
21:15:00,5.243586E+03,2.167130E+03,1.746213E-01,1.567786E-01
21:30:00,5.244946E+03,1.977583E+03,1.746666E-01,1.430659E-01
21:45:00,5.246295E+03,1.806335E+03,1.747115E-01,1.306771E-01
22:00:00,5.247632E+03,1.648853E+03,1.747561E-01,1.192842E-01
22:15:00,5.248957E+03,1.502974E+03,1.748002E-01,1.087307E-01
22:30:00,5.250272E+03,1.366570E+03,1.748440E-01,9.886261E-02
22:45:00,5.251576E+03,1.237880E+03,1.748874E-01,8.955264E-02
23:00:00,5.252869E+03,1.115850E+03,1.749305E-01,8.072447E-02
23:15:00,5.254151E+03,9.988817E+02,1.749732E-01,7.226258E-02
23:30:00,5.255423E+03,8.866474E+02,1.750155E-01,6.414318E-02
23:45:00,5.256686E+03,7.792343E+02,1.750576E-01,5.637257E-02
24:00:00,5.257938E+03,6.765320E+02,1.750993E-01,4.894275E-02
Peak,5.257938E+03,4.977829E+03,1.750993E-01,3.601146E-01

Peak Vol Flow (m3/s),,,1.580992E-01,3.251518E-01
