Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.7188203625422795,0.5093840439976164,0.839043703391219,0.0,0.0,1134834264.0574603,1769449601.1701093,1134834264.057462,13597337.112648213,0.0,0.0,621018000.0000026,621018000.0000026,0.0,0.0,0.0
 August,0.24926640145903173,0.2807264656873752,0.30072257987426,0.0,98.5,0.0,143602199.99999976,0.0,0.0,0.0,0.0,143602199.99999976,143602199.99999976,0.0,0.0,0.0
 December,0.45337985195748765,0.3011653457316365,0.4841258023115093,0.0,1882.5000000000011,17711476897.508533,38869800115.117035,17711476897.508617,212215060.61797065,0.0,0.0,20946108156.990673,20946108156.990673,0.0,0.0,0.0
