Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,1538849901.192554,1018154199.217025,12199301.97552731,0.0,0.0,508496400.0000002,508496400.0000002,0.0,0.0,0.0
 August,365286844.3604119,1778929.6130386868,21314.747372604063,0.0,0.0,363486600.0000006,363486600.0000006,0.0,0.0,0.0
 December,50364076546.77145,25311217159.84161,303273494.07242143,0.0,0.0,24749585892.857086,24749585892.857086,0.0,0.0,0.0
