Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),WATER HEATER:Water Heater Electricity Rate [W](Hourly)
 01/01  01:00:00,-17.5,10.79322199739079,34.36222593820969,607.4902723735411,0.0,20.535551109207625,9.676670747024602,11.759006820187408,981.4071490822277,0.0,0.0
 01/01  02:00:00,-20.5,10.79322199739079,34.36222593820969,559.338521400778,0.0,20.539715150807444,7.269827712435167,15.667760398669133,1307.6318689571304,0.0,0.0
 01/01  03:00:00,-19.5,10.79322199739079,34.36222593820969,552.853437094682,0.0,20.535450201312885,5.199647904674104,17.692840323760345,1476.645115257445,0.0,0.0
 01/01  04:00:00,-19.0,10.79322199739079,34.36222593820969,545.071335927367,0.0,20.51779451028315,4.352254808662327,18.969568273630779,1583.2008777122176,0.0,396.56995517082415
 01/01  05:00:00,-19.0,10.79322199739079,103.08667781462906,524.481193255512,0.0,20.511761446817297,4.441642169066565,19.52746729981125,1629.763151306579,0.0,0.0
 01/01  06:00:00,-17.5,10.79322199739079,214.76391211381057,585.278858625162,0.0,20.522407595038513,4.869765688649839,18.771152655467437,1566.6411027981686,0.0,411.8003708116182
 01/01  07:00:00,-17.0,10.79322199739079,240.53558156746784,676.2321660181581,0.0,20.52250580018967,5.4787481333628629,18.009473071145636,1503.0712961985087,0.0,437.0925479091061
 01/01  08:00:00,-17.75,10.79322199739079,214.76391211381057,718.547341115435,0.0,20.53395515465223,6.864340465538101,16.863911212759203,1407.462660645523,0.0,749.2960153192721
 01/01  09:00:00,-16.950000000000004,10.79322199739079,94.49612133007664,607.4902723735411,0.0,20.54232289306009,9.12062403260219,12.670538607869208,1057.4836261798374,0.0,604.1089263026108
 01/01  10:00:00,-15.55,10.79322199739079,64.42917363414317,517.023346303502,0.0,20.54351777586575,11.829128925602252,10.4563930502454,872.6909551159703,0.0,900.3205232556022
 01/01  11:00:00,-14.15,10.79322199739079,64.42917363414317,529.1828793774321,0.0,20.548178862244236,14.829112810111063,6.206996479075435,518.0361583288684,0.0,442.78525776861138
 01/01  12:00:00,-12.75,10.79322199739079,64.42917363414317,529.345006485084,0.0,20.549027967313287,17.306227872720947,3.5137904739239076,293.26108439411487,0.0,870.0965820627013
 01/01  13:00:00,-11.35,10.79322199739079,64.42917363414317,520.428015564202,0.0,20.550516414471404,18.342854467519758,1.4931016377803697,124.61431854163036,0.0,429.0741335591422
 01/01  14:00:00,-9.5,10.79322199739079,64.42917363414317,538.424124513619,0.0,20.551997794302748,17.817247919872775,0.9143784315522657,76.31405810152308,0.0,425.32926854822349
 01/01  15:00:00,-12.75,10.79322199739079,64.42917363414317,568.741893644617,0.0,20.54894091303352,17.181404893130677,1.30992909943119,109.3267316390693,0.0,421.93797632056649
 01/01  16:00:00,-14.75,10.79322199739079,111.67723429918149,600.356679636835,0.0,20.55091966220281,14.551567785633637,4.044956479372727,337.59221907821,0.0,420.2939574778211
 01/01  17:00:00,-15.75,10.79322199739079,240.53558156746784,710.11673151751,0.0,20.545418701547,11.451546066440049,7.539760147596108,629.2686639583192,0.0,424.40566647041126
 01/01  18:00:00,-16.75,10.79322199739079,335.03170289754447,862.6783398184181,0.0,20.537957793096198,9.649099880566979,8.886802503348076,741.692869358217,0.0,430.903290402954
 01/01  19:00:00,-17.0,10.79322199739079,451.00421543900219,936.608300907912,0.0,20.533418393407485,8.690018356164885,9.613616438922348,802.352787609188,0.0,438.53344081061348
