Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,1579209446.8980958,1281737366.285022,0.0,12679680.613075476,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,742511419.4831262,0.0,324654081.8523965,22275837.630730182,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,35303435237.49833,13163528465.175943,4302026096.164645,467723504.7295179,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
