Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 January,0.5409015519816058,0.45130173972029664,0.6060943780289247,0.0,0.0,1281737366.2850199,1579209446.8980958,1281737366.285022,0.0,12679680.613075476,0.0,0.0,284792400.0,284792400.0,0.0,0.0,0.0
 August,0.16251906837134003,0.5210119874602095,0.4415431846600467,0.0,0.0,0.0,742511419.4831262,0.0,324654081.8523965,22275837.630730182,0.0,0.0,395581499.99999905,395581499.99999905,0.0,0.0,0.0
 December,0.30435803109469634,0.5667885378282445,0.5530924935238687,0.16666666666666666,12.833333333333334,13163528465.175951,35303435237.49833,13163528465.175943,4302026096.164645,467723504.7295179,0.0,0.0,17370157171.428604,17370157171.428604,0.0,0.0,0.0
